link,phase,n_frames,n_valid_frames,valid_frame_ratio,activation_lt_0_20m
link2,approach,616,593,0.9626623376623377,0.08431703204047218
link2,pregrasp,6657,6594,0.9905362776025236,0.15514103730664242
link2,grasp_lift,7497,7497,1.0,0.09603841536614646
link2,transit,1820,1820,1.0,0.21043956043956044
link2,place,2072,2072,1.0,0.11148648648648649
link2,post_place,6909,6858,0.9926183239253148,0.16506270049577138
link2,unknown,2240,2207,0.9852678571428571,0.2659719075668328
link3,approach,704,674,0.9573863636363636,0.05341246290801187
link3,pregrasp,7608,7511,0.9872502628811777,0.16362668086806018
link3,grasp_lift,8568,8512,0.9934640522875817,0.08305921052631579
link3,transit,2080,2073,0.9966346153846154,0.10612638687891944
link3,place,2368,2350,0.9923986486486487,0.05872340425531915
link3,post_place,7896,7791,0.9867021276595744,0.14850468489282506
link3,unknown,2560,2494,0.97421875,0.28909382518043303
link5,approach,528,500,0.946969696969697,0.084
link5,pregrasp,5706,5563,0.9749386610585349,0.22775480855653424
link5,grasp_lift,6426,6217,0.9674758792405851,0.21023001447643558
link5,transit,1560,1532,0.982051282051282,0.17558746736292427
link5,place,1776,1740,0.9797297297297297,0.08620689655172414
link5,post_place,5922,5704,0.9631881121242823,0.1458625525946704
link5,unknown,1920,1788,0.93125,0.2550335570469799
link6,approach,704,675,0.9588068181818182,0.10222222222222223
link6,pregrasp,7608,7533,0.9901419558359621,0.09544670118146821
link6,grasp_lift,8568,8511,0.9933473389355743,0.2112560216190812
link6,transit,2080,2072,0.9961538461538462,0.1500965250965251
link6,place,2368,2350,0.9923986486486487,0.06936170212765957
link6,post_place,7896,7816,0.9898682877406282,0.09250255885363357
link6,unknown,2560,2527,0.987109375,0.10447170557973882
