sensor_name,link,phase,n_frames,n_valid_frames,valid_frame_ratio,activation_lt_0_20m
link2_sensor_0,link2,approach,88,85,0.9659090909090909,0.23529411764705882
link2_sensor_0,link2,pregrasp,951,945,0.9936908517350158,0.19894179894179895
link2_sensor_0,link2,grasp_lift,1071,1071,1.0,0.11858076563958916
link2_sensor_0,link2,transit,260,260,1.0,0.3346153846153846
link2_sensor_0,link2,place,296,296,1.0,0.3108108108108108
link2_sensor_0,link2,post_place,987,983,0.9959473150962512,0.301119023397762
link2_sensor_0,link2,unknown,320,320,1.0,0.30625
link2_sensor_1,link2,approach,88,85,0.9659090909090909,0.0
link2_sensor_1,link2,pregrasp,951,948,0.9968454258675079,0.09599156118143459
link2_sensor_1,link2,grasp_lift,1071,1071,1.0,0.056022408963585436
link2_sensor_1,link2,transit,260,260,1.0,0.08846153846153847
link2_sensor_1,link2,place,296,296,1.0,0.0
link2_sensor_1,link2,post_place,987,987,1.0,0.07092198581560284
link2_sensor_1,link2,unknown,320,320,1.0,0.203125
link2_sensor_2,link2,approach,88,85,0.9659090909090909,0.0
link2_sensor_2,link2,pregrasp,951,936,0.9842271293375394,0.12606837606837606
link2_sensor_2,link2,grasp_lift,1071,1071,1.0,0.05415499533146592
link2_sensor_2,link2,transit,260,260,1.0,0.11923076923076924
link2_sensor_2,link2,place,296,296,1.0,0.0
link2_sensor_2,link2,post_place,987,970,0.9827760891590679,0.12061855670103093
link2_sensor_2,link2,unknown,320,320,1.0,0.203125
link2_sensor_3,link2,approach,88,85,0.9659090909090909,0.058823529411764705
link2_sensor_3,link2,pregrasp,951,948,0.9968454258675079,0.1308016877637131
link2_sensor_3,link2,grasp_lift,1071,1071,1.0,0.11204481792717087
link2_sensor_3,link2,transit,260,260,1.0,0.18076923076923077
link2_sensor_3,link2,place,296,296,1.0,0.08783783783783784
link2_sensor_3,link2,post_place,987,987,1.0,0.1094224924012158
link2_sensor_3,link2,unknown,320,320,1.0,0.203125
link2_sensor_4,link2,approach,88,84,0.9545454545454546,0.0
link2_sensor_4,link2,pregrasp,951,921,0.9684542586750788,0.17046688382193267
link2_sensor_4,link2,grasp_lift,1071,1071,1.0,0.06816059757236227
link2_sensor_4,link2,transit,260,260,1.0,0.18076923076923077
link2_sensor_4,link2,place,296,296,1.0,0.02027027027027027
link2_sensor_4,link2,post_place,987,957,0.9696048632218845,0.14942528735632185
link2_sensor_4,link2,unknown,320,287,0.896875,0.34146341463414637
link2_sensor_5,link2,approach,88,84,0.9545454545454546,0.05952380952380952
link2_sensor_5,link2,pregrasp,951,948,0.9968454258675079,0.19936708860759494
link2_sensor_5,link2,grasp_lift,1071,1071,1.0,0.10457516339869281
link2_sensor_5,link2,transit,260,260,1.0,0.2230769230769231
link2_sensor_5,link2,place,296,296,1.0,0.08783783783783784
link2_sensor_5,link2,post_place,987,987,1.0,0.2127659574468085
link2_sensor_5,link2,unknown,320,320,1.0,0.409375
link2_sensor_6,link2,approach,88,85,0.9659090909090909,0.23529411764705882
link2_sensor_6,link2,pregrasp,951,948,0.9968454258675079,0.16455696202531644
link2_sensor_6,link2,grasp_lift,1071,1071,1.0,0.15873015873015872
link2_sensor_6,link2,transit,260,260,1.0,0.34615384615384615
link2_sensor_6,link2,place,296,296,1.0,0.27364864864864863
link2_sensor_6,link2,post_place,987,987,1.0,0.19047619047619047
link2_sensor_6,link2,unknown,320,320,1.0,0.203125
link3_sensor_0,link3,approach,88,85,0.9659090909090909,0.0
link3_sensor_0,link3,pregrasp,951,915,0.9621451104100947,0.14098360655737704
link3_sensor_0,link3,grasp_lift,1071,1071,1.0,0.05415499533146592
link3_sensor_0,link3,transit,260,260,1.0,0.07692307692307693
link3_sensor_0,link3,place,296,296,1.0,0.0
link3_sensor_0,link3,post_place,987,949,0.961499493414387,0.11380400421496312
link3_sensor_0,link3,unknown,320,287,0.896875,0.34146341463414637
