sensor_name,link,n_frames,n_valid_frames,valid_frame_ratio,activation_lt_0_50m,activation_lt_0_20m,activation_lt_0_10m,activation_lt_0_05m,near_saturation_lt_0_05m,raw_frame_activation_lt_0_50m,raw_frame_activation_lt_0_20m,raw_frame_activation_lt_0_10m,raw_frame_activation_lt_0_05m,mean_min_depth_m,std_min_depth_m,p05_min_depth_m,p50_min_depth_m,p95_min_depth_m,min_depth_m,median_within_traj_std_m,median_frame_to_frame_abs_diff_m,success_activation_lt_0_20m,failure_activation_lt_0_20m,success_minus_failure_activation_lt_0_20m,phase_approach_n_frames,phase_approach_n_valid_frames,phase_approach_valid_frame_ratio,phase_approach_activation_lt_0_20m,phase_pregrasp_n_frames,phase_pregrasp_n_valid_frames,phase_pregrasp_valid_frame_ratio,phase_pregrasp_activation_lt_0_20m,phase_grasp_lift_n_frames,phase_grasp_lift_n_valid_frames,phase_grasp_lift_valid_frame_ratio,phase_grasp_lift_activation_lt_0_20m,phase_transit_n_frames,phase_transit_n_valid_frames,phase_transit_valid_frame_ratio,phase_transit_activation_lt_0_20m,phase_place_n_frames,phase_place_n_valid_frames,phase_place_valid_frame_ratio,phase_place_activation_lt_0_20m,phase_post_place_n_frames,phase_post_place_n_valid_frames,phase_post_place_valid_frame_ratio,phase_post_place_activation_lt_0_20m,phase_unknown_n_frames,phase_unknown_n_valid_frames,phase_unknown_valid_frame_ratio,phase_unknown_activation_lt_0_20m,phase_spread_active_phase_count,suspicious_self_sensing,suspicious_reason
link2_sensor_0,link2,3973,3960,0.996727913415555,0.6411616161616162,0.2292929292929293,0.0755050505050505,0.0,0.0,0.640573873647118,0.23005285678328719,0.07676818525044048,0.0015101938082053865,0.7561804209450128,0.8954381068336343,0.0863819696009159,0.32882659137248993,3.13075110912323,0.06645283102989197,0.20716055893590918,0.0015851855278015137,0.2292929292929293,,,88,85,0.9659090909090909,0.23529411764705882,951,945,0.9936908517350158,0.19894179894179895,1071,1071,1.0,0.11858076563958916,260,260,1.0,0.3346153846153846,296,296,1.0,0.3108108108108108,987,983,0.9959473150962512,0.301119023397762,320,320,1.0,0.30625,5,True,activation_spread_across_many_phases
link2_sensor_1,link2,3973,3967,0.9984898061917946,0.5651625913788757,0.07789261406604488,0.0,0.0,0.0,0.5658192801409514,0.07928517493078278,0.0015101938082053865,0.0015101938082053865,0.6452044747959527,0.5220183941771701,0.16433177888393405,0.3892628848552704,1.6837965488433833,0.12121699750423431,0.12650926579156396,0.001951754093170166,0.07789261406604488,,,88,85,0.9659090909090909,0.0,951,948,0.9968454258675079,0.09599156118143459,1071,1071,1.0,0.056022408963585436,260,260,1.0,0.08846153846153847,296,296,1.0,0.0,987,987,1.0,0.07092198581560284,320,320,1.0,0.203125,1,False,
link2_sensor_2,link2,3973,3938,0.9911905361188019,0.520822752666328,0.09878110716099543,0.0,0.0,0.0,0.5177447772464133,0.09942109237352127,0.0015101938082053865,0.0015101938082053865,0.8938805554960814,0.8561205421874171,0.15899140611290932,0.453014999628067,2.8849630594253535,0.11773844063282013,0.12090048687921875,0.0019940733909606934,0.09878110716099543,,,88,85,0.9659090909090909,0.0,951,936,0.9842271293375394,0.12606837606837606,1071,1071,1.0,0.05415499533146592,260,260,1.0,0.11923076923076924,296,296,1.0,0.0,987,970,0.9827760891590679,0.12061855670103093,320,320,1.0,0.203125,1,False,
link2_sensor_3,link2,3973,3967,0.9984898061917946,0.7335518023695488,0.12477943029997479,0.0433577010335266,0.0,0.0,0.7339541907878178,0.12610118298514977,0.04480241631009313,0.0015101938082053865,0.45082787721447665,0.3981387193041013,0.12560264468193055,0.27764618396759033,1.3450031399726867,0.08870532363653183,0.16546583536941614,0.0013118460774421692,0.12477943029997479,,,88,85,0.9659090909090909,0.058823529411764705,951,948,0.9968454258675079,0.1308016877637131,1071,1071,1.0,0.11204481792717087,260,260,1.0,0.18076923076923077,296,296,1.0,0.08783783783783784,987,987,1.0,0.1094224924012158,320,320,1.0,0.203125,1,False,
link2_sensor_4,link2,3973,3876,0.9755852001006796,0.5041279669762642,0.13519091847265222,0.00025799793601651185,0.0,0.0,0.4933299773470929,0.13340045305814247,0.0017618927762396174,0.0015101938082053865,0.8206002347919055,0.7424378200632531,0.11385244317352772,0.4575842320919037,2.3008238077163696,0.05134691670536995,0.09412751765697128,0.0013042166829109192,0.13519091847265222,,,88,84,0.9545454545454546,0.0,951,921,0.9684542586750788,0.17046688382193267,1071,1071,1.0,0.06816059757236227,260,260,1.0,0.18076923076923077,296,296,1.0,0.02027027027027027,987,957,0.9696048632218845,0.14942528735632185,320,287,0.896875,0.34146341463414637,1,False,
link2_sensor_5,link2,3973,3966,0.9982381072237604,0.491679273827534,0.1843166918809884,0.05547150781643974,0.0,0.0,0.49232318147495596,0.1855021394412283,0.05688396677573622,0.0015101938082053865,0.8378750744998545,0.8195367369434688,0.08222043886780739,0.5797809064388275,2.4380358457565308,0.0698632150888443,0.10089264046736526,0.0016040802001953125,0.1843166918809884,,,88,84,0.9545454545454546,0.05952380952380952,951,948,0.9968454258675079,0.19936708860759494,1071,1071,1.0,0.10457516339869281,260,260,1.0,0.2230769230769231,296,296,1.0,0.08783783783783784,987,987,1.0,0.2127659574468085,320,320,1.0,0.409375,3,False,
link2_sensor_6,link2,3973,3967,0.9984898061917946,0.8338795059238719,0.19410133602218302,0.07259894126543988,0.0,0.0,0.8341303800654417,0.1953183991945633,0.07399949660206394,0.0015101938082053865,0.3470304315092283,0.2557702318656324,0.0885678231716156,0.27471494674682617,1.072054135799408,0.07084178179502487,0.1116538246473841,0.001415550708770752,0.19410133602218302,,,88,85,0.9659090909090909,0.23529411764705882,951,948,0.9968454258675079,0.16455696202531644,1071,1071,1.0,0.15873015873015872,260,260,1.0,0.34615384615384615,296,296,1.0,0.27364864864864863,987,987,1.0,0.19047619047619047,320,320,1.0,0.203125,4,False,
link3_sensor_0,link3,3973,3863,0.9723131135162346,0.5050478902407456,0.10691172663732851,0.0,0.0,0.0,0.4925748804429902,0.10546186760634281,0.0015101938082053865,0.0015101938082053865,0.851724818157943,0.7829346913265096,0.13842513561248784,0.4602288007736206,2.4785639524459806,0.1093454360961914,0.10610508505176355,0.0016661882400512695,0.10691172663732851,,,88,85,0.9659090909090909,0.0,951,915,0.9621451104100947,0.14098360655737704,1071,1071,1.0,0.05415499533146592,260,260,1.0,0.07692307692307693,296,296,1.0,0.0,987,949,0.961499493414387,0.11380400421496312,320,287,0.896875,0.34146341463414637,1,False,
link3_sensor_1,link3,3973,3967,0.9984898061917946,0.546760776405344,0.20292412402319132,0.05218048903453491,0.012351903201411647,0.012351903201411647,0.5474452554744526,0.2041278630757614,0.05361188019129121,0.013843443241882709,0.7660598812522923,0.7107546447798531,0.09914046004414559,0.4584710896015167,2.187086272239685,0.04393339157104492,0.1092776108940944,0.0016080737113952637,0.20292412402319132,,,88,85,0.9659090909090909,0.058823529411764705,951,948,0.9968454258675079,0.24472573839662448,1071,1071,1.0,0.16526610644257703,260,260,1.0,0.16923076923076924,296,296,1.0,0.06756756756756757,987,987,1.0,0.19858156028368795,320,320,1.0,0.409375,2,False,
link3_sensor_2,link3,3973,3967,0.9984898061917946,0.17519536173430805,0.06856566675069321,0.0,0.0,0.0,0.17644097659199598,0.06997231311351623,0.0015101938082053865,0.0015101938082053865,1.1966711907549652,0.6750039768714524,0.18937640339136125,1.3256139755249023,2.4189650297164915,0.14101003110408783,0.2596260219337873,0.004222273826599121,0.06856566675069321,,,88,85,0.9659090909090909,0.07058823529411765,951,948,0.9968454258675079,0.07172995780590717,1071,1071,1.0,0.05228758169934641,260,260,1.0,0.03076923076923077,296,296,1.0,0.060810810810810814,987,987,1.0,0.08409321175278622,320,320,1.0,0.103125,0,False,
