link,phase,n_frames,n_valid_frames,valid_frame_ratio,activation_lt_0_20m
link2,approach,651,602,0.9247311827956989,0.019933554817275746
link2,pregrasp,3913,3913,1.0,0.013544594939943777
link2,grasp_lift,6447,6447,1.0,0.02264619202729952
link2,transit,1890,1890,1.0,0.0291005291005291
link2,place,2478,2478,1.0,0.020177562550443905
link2,post_place,8673,8673,1.0,0.021561166839617202
link2,unknown,3115,3115,1.0,0.026324237560192615
link3,approach,744,688,0.9247311827956989,0.007267441860465116
link3,pregrasp,4472,4472,1.0,0.0
link3,grasp_lift,7368,7368,1.0,0.00013572204125950055
link3,transit,2160,2160,1.0,0.001388888888888889
link3,place,2832,2832,1.0,0.00882768361581921
link3,post_place,9912,9912,1.0,0.0020177562550443904
link3,unknown,3560,3560,1.0,0.0
link5,approach,558,516,0.9247311827956989,0.0
link5,pregrasp,3354,3354,1.0,0.002385211687537269
link5,grasp_lift,5526,5526,1.0,0.0066956207021353605
link5,transit,1620,1620,1.0,0.0030864197530864196
link5,place,2124,2124,1.0,0.006120527306967985
link5,post_place,7434,7434,1.0,0.003093892924401399
link5,unknown,2670,2670,1.0,0.0
link6,approach,744,688,0.9247311827956989,0.06976744186046512
link6,pregrasp,4472,4472,1.0,0.02370304114490161
link6,grasp_lift,7368,7368,1.0,0.05646036916395222
link6,transit,2160,2160,1.0,0.047685185185185185
link6,place,2832,2832,1.0,0.05614406779661017
link6,post_place,9912,9912,1.0,0.038034705407586765
link6,unknown,3560,3560,1.0,0.0
