sensor_name,link,phase,n_frames,n_valid_frames,valid_frame_ratio,activation_lt_0_20m
link2_sensor_0,link2,approach,93,86,0.9247311827956989,0.0
link2_sensor_0,link2,pregrasp,559,559,1.0,0.0
link2_sensor_0,link2,grasp_lift,921,921,1.0,0.0
link2_sensor_0,link2,transit,270,270,1.0,0.0
link2_sensor_0,link2,place,354,354,1.0,0.0
link2_sensor_0,link2,post_place,1239,1239,1.0,0.0
link2_sensor_0,link2,unknown,445,445,1.0,0.0
link2_sensor_1,link2,approach,93,86,0.9247311827956989,0.05813953488372093
link2_sensor_1,link2,pregrasp,559,559,1.0,0.007155635062611807
link2_sensor_1,link2,grasp_lift,921,921,1.0,0.0010857763300760044
link2_sensor_1,link2,transit,270,270,1.0,0.018518518518518517
link2_sensor_1,link2,place,354,354,1.0,0.07062146892655367
link2_sensor_1,link2,post_place,1239,1239,1.0,0.01937046004842615
link2_sensor_1,link2,unknown,445,445,1.0,0.0
link2_sensor_2,link2,approach,93,86,0.9247311827956989,0.0
link2_sensor_2,link2,pregrasp,559,559,1.0,0.0
link2_sensor_2,link2,grasp_lift,921,921,1.0,0.0
link2_sensor_2,link2,transit,270,270,1.0,0.0
link2_sensor_2,link2,place,354,354,1.0,0.0
link2_sensor_2,link2,post_place,1239,1239,1.0,0.0
link2_sensor_2,link2,unknown,445,445,1.0,0.0
link2_sensor_3,link2,approach,93,86,0.9247311827956989,0.05813953488372093
link2_sensor_3,link2,pregrasp,559,559,1.0,0.03577817531305903
link2_sensor_3,link2,grasp_lift,921,921,1.0,0.11292073832790445
link2_sensor_3,link2,transit,270,270,1.0,0.16666666666666666
link2_sensor_3,link2,place,354,354,1.0,0.07062146892655367
link2_sensor_3,link2,post_place,1239,1239,1.0,0.052461662631154156
link2_sensor_3,link2,unknown,445,445,1.0,0.0
link2_sensor_4,link2,approach,93,86,0.9247311827956989,0.0
link2_sensor_4,link2,pregrasp,559,559,1.0,0.0
link2_sensor_4,link2,grasp_lift,921,921,1.0,0.0
link2_sensor_4,link2,transit,270,270,1.0,0.0
link2_sensor_4,link2,place,354,354,1.0,0.0
link2_sensor_4,link2,post_place,1239,1239,1.0,0.0
link2_sensor_4,link2,unknown,445,445,1.0,0.0
link2_sensor_5,link2,approach,93,86,0.9247311827956989,0.0
link2_sensor_5,link2,pregrasp,559,559,1.0,0.0
link2_sensor_5,link2,grasp_lift,921,921,1.0,0.0
link2_sensor_5,link2,transit,270,270,1.0,0.0
link2_sensor_5,link2,place,354,354,1.0,0.0
link2_sensor_5,link2,post_place,1239,1239,1.0,0.0
link2_sensor_5,link2,unknown,445,445,1.0,0.0
link2_sensor_6,link2,approach,93,86,0.9247311827956989,0.023255813953488372
link2_sensor_6,link2,pregrasp,559,559,1.0,0.0518783542039356
link2_sensor_6,link2,grasp_lift,921,921,1.0,0.04451682953311618
link2_sensor_6,link2,transit,270,270,1.0,0.018518518518518517
link2_sensor_6,link2,place,354,354,1.0,0.0
link2_sensor_6,link2,post_place,1239,1239,1.0,0.07909604519774012
link2_sensor_6,link2,unknown,445,445,1.0,0.1842696629213483
link3_sensor_0,link3,approach,93,86,0.9247311827956989,0.0
link3_sensor_0,link3,pregrasp,559,559,1.0,0.0
link3_sensor_0,link3,grasp_lift,921,921,1.0,0.0
link3_sensor_0,link3,transit,270,270,1.0,0.0
link3_sensor_0,link3,place,354,354,1.0,0.0
link3_sensor_0,link3,post_place,1239,1239,1.0,0.0
link3_sensor_0,link3,unknown,445,445,1.0,0.0
link3_sensor_1,link3,approach,93,86,0.9247311827956989,0.0
link3_sensor_1,link3,pregrasp,559,559,1.0,0.0
link3_sensor_1,link3,grasp_lift,921,921,1.0,0.0010857763300760044
link3_sensor_1,link3,transit,270,270,1.0,0.0
link3_sensor_1,link3,place,354,354,1.0,0.0
link3_sensor_1,link3,post_place,1239,1239,1.0,0.0
link3_sensor_1,link3,unknown,445,445,1.0,0.0
link3_sensor_2,link3,approach,93,86,0.9247311827956989,0.0
link3_sensor_2,link3,pregrasp,559,559,1.0,0.0
link3_sensor_2,link3,grasp_lift,921,921,1.0,0.0
link3_sensor_2,link3,transit,270,270,1.0,0.0
link3_sensor_2,link3,place,354,354,1.0,0.0
link3_sensor_2,link3,post_place,1239,1239,1.0,0.0
link3_sensor_2,link3,unknown,445,445,1.0,0.0
link3_sensor_3,link3,approach,93,86,0.9247311827956989,0.0
link3_sensor_3,link3,pregrasp,559,559,1.0,0.0
link3_sensor_3,link3,grasp_lift,921,921,1.0,0.0
link3_sensor_3,link3,transit,270,270,1.0,0.0
link3_sensor_3,link3,place,354,354,1.0,0.0
link3_sensor_3,link3,post_place,1239,1239,1.0,0.0
link3_sensor_3,link3,unknown,445,445,1.0,0.0
link3_sensor_4,link3,approach,93,86,0.9247311827956989,0.0
link3_sensor_4,link3,pregrasp,559,559,1.0,0.0
link3_sensor_4,link3,grasp_lift,921,921,1.0,0.0
link3_sensor_4,link3,transit,270,270,1.0,0.0
link3_sensor_4,link3,place,354,354,1.0,0.0
link3_sensor_4,link3,post_place,1239,1239,1.0,0.0
link3_sensor_4,link3,unknown,445,445,1.0,0.0
link3_sensor_5,link3,approach,93,86,0.9247311827956989,0.0
link3_sensor_5,link3,pregrasp,559,559,1.0,0.0
link3_sensor_5,link3,grasp_lift,921,921,1.0,0.0
link3_sensor_5,link3,transit,270,270,1.0,0.0
link3_sensor_5,link3,place,354,354,1.0,0.0
link3_sensor_5,link3,post_place,1239,1239,1.0,0.0
link3_sensor_5,link3,unknown,445,445,1.0,0.0
link3_sensor_6,link3,approach,93,86,0.9247311827956989,0.0
link3_sensor_6,link3,pregrasp,559,559,1.0,0.0
link3_sensor_6,link3,grasp_lift,921,921,1.0,0.0
link3_sensor_6,link3,transit,270,270,1.0,0.0
link3_sensor_6,link3,place,354,354,1.0,0.0
link3_sensor_6,link3,post_place,1239,1239,1.0,0.0
link3_sensor_6,link3,unknown,445,445,1.0,0.0
link3_sensor_7,link3,approach,93,86,0.9247311827956989,0.05813953488372093
link3_sensor_7,link3,pregrasp,559,559,1.0,0.0
link3_sensor_7,link3,grasp_lift,921,921,1.0,0.0
link3_sensor_7,link3,transit,270,270,1.0,0.011111111111111112
link3_sensor_7,link3,place,354,354,1.0,0.07062146892655367
link3_sensor_7,link3,post_place,1239,1239,1.0,0.016142050040355124
link3_sensor_7,link3,unknown,445,445,1.0,0.0
link5_sensor_0,link5,approach,93,86,0.9247311827956989,0.0
link5_sensor_0,link5,pregrasp,559,559,1.0,0.0
link5_sensor_0,link5,grasp_lift,921,921,1.0,0.0
link5_sensor_0,link5,transit,270,270,1.0,0.0
link5_sensor_0,link5,place,354,354,1.0,0.0
link5_sensor_0,link5,post_place,1239,1239,1.0,0.0
link5_sensor_0,link5,unknown,445,445,1.0,0.0
link5_sensor_1,link5,approach,93,86,0.9247311827956989,0.0
link5_sensor_1,link5,pregrasp,559,559,1.0,0.0
link5_sensor_1,link5,grasp_lift,921,921,1.0,0.0
link5_sensor_1,link5,transit,270,270,1.0,0.0
link5_sensor_1,link5,place,354,354,1.0,0.002824858757062147
link5_sensor_1,link5,post_place,1239,1239,1.0,0.0016142050040355124
link5_sensor_1,link5,unknown,445,445,1.0,0.0
link5_sensor_2,link5,approach,93,86,0.9247311827956989,0.0
link5_sensor_2,link5,pregrasp,559,559,1.0,0.0
link5_sensor_2,link5,grasp_lift,921,921,1.0,0.0
link5_sensor_2,link5,transit,270,270,1.0,0.0
link5_sensor_2,link5,place,354,354,1.0,0.0
link5_sensor_2,link5,post_place,1239,1239,1.0,0.0
link5_sensor_2,link5,unknown,445,445,1.0,0.0
link5_sensor_3,link5,approach,93,86,0.9247311827956989,0.0
link5_sensor_3,link5,pregrasp,559,559,1.0,0.0
link5_sensor_3,link5,grasp_lift,921,921,1.0,0.0
link5_sensor_3,link5,transit,270,270,1.0,0.018518518518518517
link5_sensor_3,link5,place,354,354,1.0,0.03389830508474576
link5_sensor_3,link5,post_place,1239,1239,1.0,0.01694915254237288
link5_sensor_3,link5,unknown,445,445,1.0,0.0
link5_sensor_4,link5,approach,93,86,0.9247311827956989,0.0
link5_sensor_4,link5,pregrasp,559,559,1.0,0.014311270125223614
link5_sensor_4,link5,grasp_lift,921,921,1.0,0.04017372421281216
link5_sensor_4,link5,transit,270,270,1.0,0.0
link5_sensor_4,link5,place,354,354,1.0,0.0
link5_sensor_4,link5,post_place,1239,1239,1.0,0.0
link5_sensor_4,link5,unknown,445,445,1.0,0.0
link5_sensor_5,link5,approach,93,86,0.9247311827956989,0.0
link5_sensor_5,link5,pregrasp,559,559,1.0,0.0
link5_sensor_5,link5,grasp_lift,921,921,1.0,0.0
link5_sensor_5,link5,transit,270,270,1.0,0.0
link5_sensor_5,link5,place,354,354,1.0,0.0
link5_sensor_5,link5,post_place,1239,1239,1.0,0.0
link5_sensor_5,link5,unknown,445,445,1.0,0.0
link6_sensor_0,link6,approach,93,86,0.9247311827956989,0.12790697674418605
link6_sensor_0,link6,pregrasp,559,559,1.0,0.03041144901610018
