link,phase,n_frames,n_valid_frames,valid_frame_ratio,activation_lt_0_20m
link2,approach,637,539,0.8461538461538461,0.04081632653061224
link2,pregrasp,3745,3745,1.0,0.02403204272363151
link2,grasp_lift,5740,5740,1.0,0.024390243902439025
link2,transit,2513,2513,1.0,0.030242737763629127
link2,place,2695,2695,1.0,0.03970315398886828
link2,post_place,8715,8715,1.0,0.035341365461847386
link2,unknown,3465,3465,1.0,0.047619047619047616
link3,approach,728,616,0.8461538461538461,0.021103896103896104
link3,pregrasp,4280,4275,0.9988317757009346,0.04818713450292398
link3,grasp_lift,6560,6560,1.0,0.047103658536585366
link3,transit,2872,2872,1.0,0.0383008356545961
link3,place,3080,3080,1.0,0.024025974025974027
link3,post_place,9960,9955,0.9994979919678715,0.04118533400301356
link3,unknown,3960,3960,1.0,0.06666666666666667
link5,approach,546,462,0.8461538461538461,0.05844155844155844
link5,pregrasp,3210,3210,1.0,0.03644859813084112
link5,grasp_lift,4920,4920,1.0,0.05894308943089431
link5,transit,2154,2154,1.0,0.033426183844011144
link5,place,2310,2310,1.0,0.053246753246753244
link5,post_place,7470,7461,0.9987951807228915,0.018228119555019434
link5,unknown,2970,2937,0.9888888888888889,0.0
link6,approach,728,616,0.8461538461538461,0.037337662337662336
link6,pregrasp,4280,4275,0.9988317757009346,0.02128654970760234
link6,grasp_lift,6560,6512,0.9926829268292683,0.13513513513513514
link6,transit,2872,2859,0.9954735376044568,0.03497726477789437
link6,place,3080,3079,0.9996753246753247,0.0220850925625203
link6,post_place,9960,9954,0.9993975903614458,0.01225637934498694
link6,unknown,3960,3960,1.0,0.008333333333333333
