sensor_name,link,phase,n_frames,n_valid_frames,valid_frame_ratio,activation_lt_0_20m
link2_sensor_0,link2,approach,91,77,0.8461538461538461,0.06493506493506493
link2_sensor_0,link2,pregrasp,535,535,1.0,0.0
link2_sensor_0,link2,grasp_lift,820,820,1.0,0.0
link2_sensor_0,link2,transit,359,359,1.0,0.008356545961002786
link2_sensor_0,link2,place,385,385,1.0,0.07532467532467532
link2_sensor_0,link2,post_place,1245,1245,1.0,0.04096385542168675
link2_sensor_0,link2,unknown,495,495,1.0,0.0
link2_sensor_1,link2,approach,91,77,0.8461538461538461,0.0
link2_sensor_1,link2,pregrasp,535,535,1.0,0.0
link2_sensor_1,link2,grasp_lift,820,820,1.0,0.0
link2_sensor_1,link2,transit,359,359,1.0,0.0
link2_sensor_1,link2,place,385,385,1.0,0.0
link2_sensor_1,link2,post_place,1245,1245,1.0,0.0
link2_sensor_1,link2,unknown,495,495,1.0,0.0
link2_sensor_2,link2,approach,91,77,0.8461538461538461,0.012987012987012988
link2_sensor_2,link2,pregrasp,535,535,1.0,0.0691588785046729
link2_sensor_2,link2,grasp_lift,820,820,1.0,0.07439024390243902
link2_sensor_2,link2,transit,359,359,1.0,0.052924791086350974
link2_sensor_2,link2,place,385,385,1.0,0.0
link2_sensor_2,link2,post_place,1245,1245,1.0,0.02248995983935743
link2_sensor_2,link2,unknown,495,495,1.0,0.13333333333333333
link2_sensor_3,link2,approach,91,77,0.8461538461538461,0.06493506493506493
link2_sensor_3,link2,pregrasp,535,535,1.0,0.0
link2_sensor_3,link2,grasp_lift,820,820,1.0,0.0
link2_sensor_3,link2,transit,359,359,1.0,0.04456824512534819
link2_sensor_3,link2,place,385,385,1.0,0.07272727272727272
link2_sensor_3,link2,post_place,1245,1245,1.0,0.01285140562248996
link2_sensor_3,link2,unknown,495,495,1.0,0.0
link2_sensor_4,link2,approach,91,77,0.8461538461538461,0.0
link2_sensor_4,link2,pregrasp,535,535,1.0,0.0
link2_sensor_4,link2,grasp_lift,820,820,1.0,0.0
link2_sensor_4,link2,transit,359,359,1.0,0.0
link2_sensor_4,link2,place,385,385,1.0,0.0
link2_sensor_4,link2,post_place,1245,1245,1.0,0.0
link2_sensor_4,link2,unknown,495,495,1.0,0.0
link2_sensor_5,link2,approach,91,77,0.8461538461538461,0.0
link2_sensor_5,link2,pregrasp,535,535,1.0,0.0
link2_sensor_5,link2,grasp_lift,820,820,1.0,0.0
link2_sensor_5,link2,transit,359,359,1.0,0.0
link2_sensor_5,link2,place,385,385,1.0,0.0
link2_sensor_5,link2,post_place,1245,1245,1.0,0.0
link2_sensor_5,link2,unknown,495,495,1.0,0.0
link2_sensor_6,link2,approach,91,77,0.8461538461538461,0.14285714285714285
link2_sensor_6,link2,pregrasp,535,535,1.0,0.09906542056074766
link2_sensor_6,link2,grasp_lift,820,820,1.0,0.09634146341463415
link2_sensor_6,link2,transit,359,359,1.0,0.10584958217270195
link2_sensor_6,link2,place,385,385,1.0,0.12987012987012986
link2_sensor_6,link2,post_place,1245,1245,1.0,0.1710843373493976
link2_sensor_6,link2,unknown,495,495,1.0,0.2
link3_sensor_0,link3,approach,91,77,0.8461538461538461,0.0
link3_sensor_0,link3,pregrasp,535,535,1.0,0.0
link3_sensor_0,link3,grasp_lift,820,820,1.0,0.042682926829268296
link3_sensor_0,link3,transit,359,359,1.0,0.0
link3_sensor_0,link3,place,385,385,1.0,0.0
link3_sensor_0,link3,post_place,1245,1245,1.0,0.0
link3_sensor_0,link3,unknown,495,495,1.0,0.0
link3_sensor_1,link3,approach,91,77,0.8461538461538461,0.0
link3_sensor_1,link3,pregrasp,535,535,1.0,0.0
link3_sensor_1,link3,grasp_lift,820,820,1.0,0.0
link3_sensor_1,link3,transit,359,359,1.0,0.0
link3_sensor_1,link3,place,385,385,1.0,0.0
link3_sensor_1,link3,post_place,1245,1245,1.0,0.0008032128514056225
link3_sensor_1,link3,unknown,495,495,1.0,0.0
link3_sensor_2,link3,approach,91,77,0.8461538461538461,0.07792207792207792
link3_sensor_2,link3,pregrasp,535,530,0.9906542056074766,0.2339622641509434
link3_sensor_2,link3,grasp_lift,820,820,1.0,0.1329268292682927
link3_sensor_2,link3,transit,359,359,1.0,0.17270194986072424
link3_sensor_2,link3,place,385,385,1.0,0.11428571428571428
link3_sensor_2,link3,post_place,1245,1240,0.9959839357429718,0.20403225806451614
link3_sensor_2,link3,unknown,495,495,1.0,0.26666666666666666
link3_sensor_3,link3,approach,91,77,0.8461538461538461,0.0
link3_sensor_3,link3,pregrasp,535,535,1.0,0.0
link3_sensor_3,link3,grasp_lift,820,820,1.0,0.0
link3_sensor_3,link3,transit,359,359,1.0,0.0
link3_sensor_3,link3,place,385,385,1.0,0.0
link3_sensor_3,link3,post_place,1245,1245,1.0,0.0
link3_sensor_3,link3,unknown,495,495,1.0,0.0
link3_sensor_4,link3,approach,91,77,0.8461538461538461,0.012987012987012988
link3_sensor_4,link3,pregrasp,535,535,1.0,0.026168224299065422
link3_sensor_4,link3,grasp_lift,820,820,1.0,0.07439024390243902
link3_sensor_4,link3,transit,359,359,1.0,0.05013927576601671
link3_sensor_4,link3,place,385,385,1.0,0.0
link3_sensor_4,link3,post_place,1245,1245,1.0,0.008032128514056224
link3_sensor_4,link3,unknown,495,495,1.0,0.06666666666666667
link3_sensor_5,link3,approach,91,77,0.8461538461538461,0.0
link3_sensor_5,link3,pregrasp,535,535,1.0,0.0
link3_sensor_5,link3,grasp_lift,820,820,1.0,0.0524390243902439
link3_sensor_5,link3,transit,359,359,1.0,0.0
link3_sensor_5,link3,place,385,385,1.0,0.0025974025974025974
link3_sensor_5,link3,post_place,1245,1245,1.0,0.001606425702811245
link3_sensor_5,link3,unknown,495,495,1.0,0.0
link3_sensor_6,link3,approach,91,77,0.8461538461538461,0.07792207792207792
link3_sensor_6,link3,pregrasp,535,535,1.0,0.12710280373831775
link3_sensor_6,link3,grasp_lift,820,820,1.0,0.07439024390243902
link3_sensor_6,link3,transit,359,359,1.0,0.08356545961002786
link3_sensor_6,link3,place,385,385,1.0,0.07532467532467532
link3_sensor_6,link3,post_place,1245,1245,1.0,0.11566265060240964
link3_sensor_6,link3,unknown,495,495,1.0,0.2
link3_sensor_7,link3,approach,91,77,0.8461538461538461,0.0
link3_sensor_7,link3,pregrasp,535,535,1.0,0.0
link3_sensor_7,link3,grasp_lift,820,820,1.0,0.0
link3_sensor_7,link3,transit,359,359,1.0,0.0
link3_sensor_7,link3,place,385,385,1.0,0.0
link3_sensor_7,link3,post_place,1245,1245,1.0,0.0
link3_sensor_7,link3,unknown,495,495,1.0,0.0
link5_sensor_0,link5,approach,91,77,0.8461538461538461,0.0
link5_sensor_0,link5,pregrasp,535,535,1.0,0.0
link5_sensor_0,link5,grasp_lift,820,820,1.0,0.0012195121951219512
link5_sensor_0,link5,transit,359,359,1.0,0.0
link5_sensor_0,link5,place,385,385,1.0,0.0
link5_sensor_0,link5,post_place,1245,1245,1.0,0.0
