house_id,sensor_name,link,n_frames,n_valid_frames,valid_frame_ratio,activation_lt_0_50m,activation_lt_0_20m,activation_lt_0_10m,activation_lt_0_05m,near_saturation_lt_0_05m,raw_frame_activation_lt_0_50m,raw_frame_activation_lt_0_20m,raw_frame_activation_lt_0_10m,raw_frame_activation_lt_0_05m,mean_min_depth_m,std_min_depth_m,p05_min_depth_m,p50_min_depth_m,p95_min_depth_m,min_depth_m,median_within_traj_std_m,median_frame_to_frame_abs_diff_m,success_activation_lt_0_20m,failure_activation_lt_0_20m,success_minus_failure_activation_lt_0_20m,phase_approach_n_frames,phase_approach_n_valid_frames,phase_approach_valid_frame_ratio,phase_approach_activation_lt_0_20m,phase_pregrasp_n_frames,phase_pregrasp_n_valid_frames,phase_pregrasp_valid_frame_ratio,phase_pregrasp_activation_lt_0_20m,phase_grasp_lift_n_frames,phase_grasp_lift_n_valid_frames,phase_grasp_lift_valid_frame_ratio,phase_grasp_lift_activation_lt_0_20m,phase_transit_n_frames,phase_transit_n_valid_frames,phase_transit_valid_frame_ratio,phase_transit_activation_lt_0_20m,phase_place_n_frames,phase_place_n_valid_frames,phase_place_valid_frame_ratio,phase_place_activation_lt_0_20m,phase_post_place_n_frames,phase_post_place_n_valid_frames,phase_post_place_valid_frame_ratio,phase_post_place_activation_lt_0_20m,phase_unknown_n_frames,phase_unknown_n_valid_frames,phase_unknown_valid_frame_ratio,phase_unknown_activation_lt_0_20m,phase_spread_active_phase_count,suspicious_self_sensing,suspicious_reason
house_1,link5_sensor_3,link5,231,231,1.0,0.9956709956709957,0.5367965367965368,0.0,0.0,0.0,0.9956709956709957,0.5367965367965368,0.0,0.0,0.2508928348749747,0.12114765600127216,0.15879368782043457,0.1800871342420578,0.3977554738521576,0.15704508125782013,0.12114765600127216,0.00048808008432388306,0.5367965367965368,,,6,6,1.0,0.8333333333333334,23,23,1.0,0.13043478260869565,48,48,1.0,1.0,12,12,1.0,1.0,26,26,1.0,1.0,83,83,1.0,0.3614457831325301,33,33,1.0,0.0,4,True,activation_spread_across_many_phases
house_1,link6_sensor_3,link6,231,231,1.0,0.9956709956709957,0.5194805194805194,0.0,0.0,0.0,0.9956709956709957,0.5194805194805194,0.0,0.0,0.264588327892931,0.11360051243827637,0.16638047248125076,0.18800842761993408,0.4442388713359833,0.16549788415431976,0.11360051243827637,0.0003715008497238159,0.5194805194805194,,,6,6,1.0,0.8333333333333334,23,23,1.0,0.08695652173913043,48,48,1.0,1.0,12,12,1.0,1.0,26,26,1.0,1.0,83,83,1.0,0.3253012048192771,33,33,1.0,0.0,4,True,activation_spread_across_many_phases
house_1,link6_sensor_4,link6,231,231,1.0,1.0,0.5238095238095238,0.0,0.0,0.0,1.0,0.5238095238095238,0.0,0.0,0.2692860451998649,0.12136787103827563,0.1672261580824852,0.18479229509830475,0.4686814546585083,0.12646690011024475,0.12136787103827563,0.0003818422555923462,0.5238095238095238,,,6,6,1.0,1.0,23,23,1.0,0.08695652173913043,48,48,1.0,1.0,12,12,1.0,1.0,26,26,1.0,1.0,83,83,1.0,0.3253012048192771,33,33,1.0,0.0,4,True,activation_spread_across_many_phases
house_4,link3_sensor_2,link3,293,292,0.9965870307167235,0.928082191780822,0.5753424657534246,0.2773972602739726,0.16095890410958905,0.16095890410958905,0.9283276450511946,0.5767918088737202,0.27986348122866894,0.16382252559726962,0.22139791340554413,0.15322095920578946,0.04618794471025467,0.18872353434562683,0.5139785349369049,0.0437985397875309,0.15322095920578946,0.0021847710013389587,0.5753424657534246,,,6,5,0.8333333333333334,0.0,53,53,1.0,0.5849056603773585,58,58,1.0,0.0,29,29,1.0,0.13793103448275862,31,31,1.0,0.6774193548387096,83,83,1.0,0.9518072289156626,33,33,1.0,1.0,4,True,activation_spread_across_many_phases
house_6,link2_sensor_6,link2,230,229,0.9956521739130435,1.0,0.7685589519650655,0.004366812227074236,0.004366812227074236,0.004366812227074236,1.0,0.7695652173913043,0.008695652173913044,0.008695652173913044,0.1829694463794148,0.031143959840476413,0.16028063893318176,0.17012283205986023,0.24883520901203154,0.045317377895116806,0.031143959840476413,0.0002905800938606262,0.7685589519650655,,,6,5,0.8333333333333334,1.0,15,15,1.0,0.4666666666666667,48,48,1.0,0.3958333333333333,24,24,1.0,0.3333333333333333,21,21,1.0,1.0,83,83,1.0,1.0,33,33,1.0,1.0,6,True,activation_spread_across_many_phases
house_11,link2_sensor_2,link2,266,265,0.9962406015037594,1.0,0.5584905660377358,0.33584905660377357,0.0,0.0,1.0,0.5601503759398496,0.3383458646616541,0.0037593984962406013,0.2315675695971498,0.15563039666766212,0.05475416332483292,0.16223019361495972,0.4349429488182068,0.05350621044635773,0.15563039666766212,0.0007667671889066696,0.5584905660377358,,,7,6,0.8571428571428571,0.16666666666666666,23,23,1.0,1.0,61,61,1.0,1.0,30,30,1.0,0.6333333333333333,29,29,1.0,0.0,83,83,1.0,0.13253012048192772,33,33,1.0,1.0,4,True,activation_spread_across_many_phases
house_11,link2_sensor_6,link2,266,265,0.9962406015037594,1.0,0.9962264150943396,0.0,0.0,0.0,1.0,0.9962406015037594,0.0037593984962406013,0.0037593984962406013,0.12816928332706667,0.019811167592417515,0.10591358542442322,0.12678126990795135,0.16312555074691765,0.1048714742064476,0.019811167592417515,0.000321459025144577,0.9962264150943396,,,7,6,0.8571428571428571,1.0,23,23,1.0,1.0,61,61,1.0,0.9836065573770492,30,30,1.0,1.0,29,29,1.0,1.0,83,83,1.0,1.0,33,33,1.0,1.0,6,True,activation_lt_0_20m_close_to_1;activation_spread_across_many_phases
house_11,link3_sensor_2,link3,266,265,0.9962406015037594,1.0,0.7660377358490567,0.6075471698113207,0.2981132075471698,0.2981132075471698,1.0,0.7669172932330827,0.6090225563909775,0.3007518796992481,0.11714211758577599,0.08257372265690176,0.042560680955648425,0.07253538072109222,0.25980648398399353,0.04254747927188873,0.08257372265690176,0.00031821615993976593,0.7660377358490567,,,7,6,0.8571428571428571,0.16666666666666666,23,23,1.0,1.0,61,61,1.0,1.0,30,30,1.0,0.9,29,29,1.0,0.0,83,83,1.0,0.6987951807228916,33,33,1.0,1.0,5,True,activation_spread_across_many_phases
house_11,link3_sensor_6,link3,266,265,0.9962406015037594,1.0,1.0,0.3622641509433962,0.12075471698113208,0.12075471698113208,1.0,1.0,0.36466165413533835,0.12406015037593984,0.11872206896824657,0.04619619020597679,0.04677727594971657,0.13981516659259796,0.16858574748039246,0.045388784259557724,0.04619619020597679,0.0005742385983467102,1.0,,,7,6,0.8571428571428571,1.0,23,23,1.0,1.0,61,61,1.0,1.0,30,30,1.0,1.0,29,29,1.0,1.0,83,83,1.0,1.0,33,33,1.0,1.0,6,True,activation_lt_0_20m_close_to_1;activation_spread_across_many_phases
house_14,link3_sensor_2,link3,266,265,0.9962406015037594,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0037593984962406013,0.0037593984962406013,0.14277734053584765,0.015670511868592866,0.11422936618328094,0.14385218918323517,0.16545304358005525,0.11274798214435577,0.015670511868592866,0.0003864765167236328,1.0,,,6,5,0.8333333333333334,1.0,42,42,1.0,1.0,48,48,1.0,1.0,31,31,1.0,1.0,23,23,1.0,1.0,83,83,1.0,1.0,33,33,1.0,1.0,6,True,activation_lt_0_20m_close_to_1;activation_spread_across_many_phases
