link,phase,n_frames,n_valid_frames,valid_frame_ratio,activation_lt_0_20m
link2,approach,637,574,0.9010989010989011,0.020905923344947737
link2,pregrasp,4277,4277,1.0,0.008884732288987608
link2,grasp_lift,6076,6076,1.0,0.010039499670836076
link2,transit,1848,1848,1.0,0.013528138528138528
link2,place,2443,2443,1.0,0.018419975440032748
link2,post_place,8715,8715,1.0,0.01755593803786575
link2,unknown,3465,3465,1.0,0.01904761904761905
link3,approach,728,656,0.9010989010989011,0.0
link3,pregrasp,4888,4884,0.9991816693944353,0.00020475020475020476
link3,grasp_lift,6944,6944,1.0,0.00014400921658986175
link3,transit,2112,2112,1.0,0.0
link3,place,2792,2790,0.9992836676217765,0.0
link3,post_place,9960,9949,0.9988955823293173,0.0002010252286661976
link3,unknown,3960,3960,1.0,0.0
link5,approach,546,492,0.9010989010989011,0.08333333333333333
link5,pregrasp,3666,3666,1.0,0.024004364429896344
link5,grasp_lift,5208,5208,1.0,0.08198924731182795
link5,transit,1584,1584,1.0,0.04861111111111111
link5,place,2094,2094,1.0,0.09789875835721108
link5,post_place,7470,7469,0.9998661311914324,0.04913643057972955
link5,unknown,2970,2970,1.0,0.011111111111111112
link6,approach,728,656,0.9010989010989011,0.17530487804878048
link6,pregrasp,4888,4888,1.0,0.047872340425531915
link6,grasp_lift,6944,6944,1.0,0.17353110599078342
link6,transit,2112,2112,1.0,0.140625
link6,place,2792,2792,1.0,0.15687679083094555
link6,post_place,9960,9960,1.0,0.07761044176706827
link6,unknown,3960,3960,1.0,0.03333333333333333
