sensor_name,link,phase,n_frames,n_valid_frames,valid_frame_ratio,activation_lt_0_20m
link2_sensor_0,link2,approach,91,82,0.9010989010989011,0.0
link2_sensor_0,link2,pregrasp,611,611,1.0,0.0
link2_sensor_0,link2,grasp_lift,868,868,1.0,0.0
link2_sensor_0,link2,transit,264,264,1.0,0.0
link2_sensor_0,link2,place,349,349,1.0,0.0
link2_sensor_0,link2,post_place,1245,1245,1.0,0.0
link2_sensor_0,link2,unknown,495,495,1.0,0.0
link2_sensor_1,link2,approach,91,82,0.9010989010989011,0.0
link2_sensor_1,link2,pregrasp,611,611,1.0,0.0
link2_sensor_1,link2,grasp_lift,868,868,1.0,0.0
link2_sensor_1,link2,transit,264,264,1.0,0.0
link2_sensor_1,link2,place,349,349,1.0,0.0
link2_sensor_1,link2,post_place,1245,1245,1.0,0.0
link2_sensor_1,link2,unknown,495,495,1.0,0.0
link2_sensor_2,link2,approach,91,82,0.9010989010989011,0.0
link2_sensor_2,link2,pregrasp,611,611,1.0,0.0
link2_sensor_2,link2,grasp_lift,868,868,1.0,0.0
link2_sensor_2,link2,transit,264,264,1.0,0.0
link2_sensor_2,link2,place,349,349,1.0,0.0
link2_sensor_2,link2,post_place,1245,1245,1.0,0.0
link2_sensor_2,link2,unknown,495,495,1.0,0.0
link2_sensor_3,link2,approach,91,82,0.9010989010989011,0.06097560975609756
link2_sensor_3,link2,pregrasp,611,611,1.0,0.0
link2_sensor_3,link2,grasp_lift,868,868,1.0,0.0034562211981566822
link2_sensor_3,link2,transit,264,264,1.0,0.06060606060606061
link2_sensor_3,link2,place,349,349,1.0,0.05730659025787966
link2_sensor_3,link2,post_place,1245,1245,1.0,0.03855421686746988
link2_sensor_3,link2,unknown,495,495,1.0,0.0
link2_sensor_4,link2,approach,91,82,0.9010989010989011,0.0
link2_sensor_4,link2,pregrasp,611,611,1.0,0.0
link2_sensor_4,link2,grasp_lift,868,868,1.0,0.0
link2_sensor_4,link2,transit,264,264,1.0,0.0
link2_sensor_4,link2,place,349,349,1.0,0.0
link2_sensor_4,link2,post_place,1245,1245,1.0,0.0
link2_sensor_4,link2,unknown,495,495,1.0,0.0
link2_sensor_5,link2,approach,91,82,0.9010989010989011,0.0
link2_sensor_5,link2,pregrasp,611,611,1.0,0.0
link2_sensor_5,link2,grasp_lift,868,868,1.0,0.0
link2_sensor_5,link2,transit,264,264,1.0,0.0
link2_sensor_5,link2,place,349,349,1.0,0.0
link2_sensor_5,link2,post_place,1245,1245,1.0,0.0
link2_sensor_5,link2,unknown,495,495,1.0,0.0
link2_sensor_6,link2,approach,91,82,0.9010989010989011,0.08536585365853659
link2_sensor_6,link2,pregrasp,611,611,1.0,0.062193126022913256
link2_sensor_6,link2,grasp_lift,868,868,1.0,0.06682027649769585
link2_sensor_6,link2,transit,264,264,1.0,0.03409090909090909
link2_sensor_6,link2,place,349,349,1.0,0.07163323782234957
link2_sensor_6,link2,post_place,1245,1245,1.0,0.08433734939759036
link2_sensor_6,link2,unknown,495,495,1.0,0.13333333333333333
link3_sensor_0,link3,approach,91,82,0.9010989010989011,0.0
link3_sensor_0,link3,pregrasp,611,611,1.0,0.0
link3_sensor_0,link3,grasp_lift,868,868,1.0,0.0
link3_sensor_0,link3,transit,264,264,1.0,0.0
link3_sensor_0,link3,place,349,349,1.0,0.0
link3_sensor_0,link3,post_place,1245,1245,1.0,0.0
link3_sensor_0,link3,unknown,495,495,1.0,0.0
link3_sensor_1,link3,approach,91,82,0.9010989010989011,0.0
link3_sensor_1,link3,pregrasp,611,611,1.0,0.0016366612111292963
link3_sensor_1,link3,grasp_lift,868,868,1.0,0.0
link3_sensor_1,link3,transit,264,264,1.0,0.0
link3_sensor_1,link3,place,349,349,1.0,0.0
link3_sensor_1,link3,post_place,1245,1245,1.0,0.0
link3_sensor_1,link3,unknown,495,495,1.0,0.0
link3_sensor_2,link3,approach,91,82,0.9010989010989011,0.0
link3_sensor_2,link3,pregrasp,611,607,0.9934533551554828,0.0
link3_sensor_2,link3,grasp_lift,868,868,1.0,0.0
link3_sensor_2,link3,transit,264,264,1.0,0.0
link3_sensor_2,link3,place,349,347,0.994269340974212,0.0
link3_sensor_2,link3,post_place,1245,1235,0.9919678714859438,0.0016194331983805667
link3_sensor_2,link3,unknown,495,495,1.0,0.0
link3_sensor_3,link3,approach,91,82,0.9010989010989011,0.0
link3_sensor_3,link3,pregrasp,611,611,1.0,0.0
link3_sensor_3,link3,grasp_lift,868,868,1.0,0.0
link3_sensor_3,link3,transit,264,264,1.0,0.0
link3_sensor_3,link3,place,349,349,1.0,0.0
link3_sensor_3,link3,post_place,1245,1244,0.9991967871485944,0.0
link3_sensor_3,link3,unknown,495,495,1.0,0.0
link3_sensor_4,link3,approach,91,82,0.9010989010989011,0.0
link3_sensor_4,link3,pregrasp,611,611,1.0,0.0
link3_sensor_4,link3,grasp_lift,868,868,1.0,0.0
link3_sensor_4,link3,transit,264,264,1.0,0.0
link3_sensor_4,link3,place,349,349,1.0,0.0
link3_sensor_4,link3,post_place,1245,1245,1.0,0.0
link3_sensor_4,link3,unknown,495,495,1.0,0.0
link3_sensor_5,link3,approach,91,82,0.9010989010989011,0.0
link3_sensor_5,link3,pregrasp,611,611,1.0,0.0
link3_sensor_5,link3,grasp_lift,868,868,1.0,0.0
link3_sensor_5,link3,transit,264,264,1.0,0.0
link3_sensor_5,link3,place,349,349,1.0,0.0
link3_sensor_5,link3,post_place,1245,1245,1.0,0.0
link3_sensor_5,link3,unknown,495,495,1.0,0.0
link3_sensor_6,link3,approach,91,82,0.9010989010989011,0.0
link3_sensor_6,link3,pregrasp,611,611,1.0,0.0
link3_sensor_6,link3,grasp_lift,868,868,1.0,0.001152073732718894
link3_sensor_6,link3,transit,264,264,1.0,0.0
link3_sensor_6,link3,place,349,349,1.0,0.0
link3_sensor_6,link3,post_place,1245,1245,1.0,0.0
link3_sensor_6,link3,unknown,495,495,1.0,0.0
link3_sensor_7,link3,approach,91,82,0.9010989010989011,0.0
link3_sensor_7,link3,pregrasp,611,611,1.0,0.0
link3_sensor_7,link3,grasp_lift,868,868,1.0,0.0
link3_sensor_7,link3,transit,264,264,1.0,0.0
link3_sensor_7,link3,place,349,349,1.0,0.0
link3_sensor_7,link3,post_place,1245,1245,1.0,0.0
link3_sensor_7,link3,unknown,495,495,1.0,0.0
link5_sensor_0,link5,approach,91,82,0.9010989010989011,0.06097560975609756
link5_sensor_0,link5,pregrasp,611,611,1.0,0.0
link5_sensor_0,link5,grasp_lift,868,868,1.0,0.0
link5_sensor_0,link5,transit,264,264,1.0,0.007575757575757576
link5_sensor_0,link5,place,349,349,1.0,0.07736389684813753
link5_sensor_0,link5,post_place,1245,1245,1.0,0.018473895582329317
link5_sensor_0,link5,unknown,495,495,1.0,0.0
link5_sensor_1,link5,approach,91,82,0.9010989010989011,0.06097560975609756
link5_sensor_1,link5,pregrasp,611,611,1.0,0.02127659574468085
link5_sensor_1,link5,grasp_lift,868,868,1.0,0.06336405529953917
link5_sensor_1,link5,transit,264,264,1.0,0.03787878787878788
link5_sensor_1,link5,place,349,349,1.0,0.07736389684813753
link5_sensor_1,link5,post_place,1245,1245,1.0,0.04096385542168675
link5_sensor_1,link5,unknown,495,495,1.0,0.0
link5_sensor_2,link5,approach,91,82,0.9010989010989011,0.06097560975609756
link5_sensor_2,link5,pregrasp,611,611,1.0,0.0
link5_sensor_2,link5,grasp_lift,868,868,1.0,0.03225806451612903
link5_sensor_2,link5,transit,264,264,1.0,0.026515151515151516
link5_sensor_2,link5,place,349,349,1.0,0.07736389684813753
link5_sensor_2,link5,post_place,1245,1245,1.0,0.02971887550200803
link5_sensor_2,link5,unknown,495,495,1.0,0.0
link5_sensor_3,link5,approach,91,82,0.9010989010989011,0.13414634146341464
link5_sensor_3,link5,pregrasp,611,611,1.0,0.09001636661211129
link5_sensor_3,link5,grasp_lift,868,868,1.0,0.2695852534562212
link5_sensor_3,link5,transit,264,264,1.0,0.14393939393939395
link5_sensor_3,link5,place,349,349,1.0,0.1346704871060172
link5_sensor_3,link5,post_place,1245,1244,0.9991967871485944,0.10209003215434084
link5_sensor_3,link5,unknown,495,495,1.0,0.06666666666666667
link5_sensor_4,link5,approach,91,82,0.9010989010989011,0.12195121951219512
link5_sensor_4,link5,pregrasp,611,611,1.0,0.024549918166939442
link5_sensor_4,link5,grasp_lift,868,868,1.0,0.06336405529953917
link5_sensor_4,link5,transit,264,264,1.0,0.03787878787878788
link5_sensor_4,link5,place,349,349,1.0,0.14326647564469913
link5_sensor_4,link5,post_place,1245,1245,1.0,0.06666666666666667
link5_sensor_4,link5,unknown,495,495,1.0,0.0
link5_sensor_5,link5,approach,91,82,0.9010989010989011,0.06097560975609756
link5_sensor_5,link5,pregrasp,611,611,1.0,0.008183306055646482
link5_sensor_5,link5,grasp_lift,868,868,1.0,0.06336405529953917
link5_sensor_5,link5,transit,264,264,1.0,0.03787878787878788
link5_sensor_5,link5,place,349,349,1.0,0.07736389684813753
link5_sensor_5,link5,post_place,1245,1245,1.0,0.036947791164658635
link5_sensor_5,link5,unknown,495,495,1.0,0.0
link6_sensor_0,link6,approach,91,82,0.9010989010989011,0.10975609756097561
link6_sensor_0,link6,pregrasp,611,611,1.0,0.054009819967266774
link6_sensor_0,link6,grasp_lift,868,868,1.0,0.17511520737327188
link6_sensor_0,link6,transit,264,264,1.0,0.14772727272727273
link6_sensor_0,link6,place,349,349,1.0,0.15759312320916904
link6_sensor_0,link6,post_place,1245,1245,1.0,0.0570281124497992
link6_sensor_0,link6,unknown,495,495,1.0,0.0
link6_sensor_1,link6,approach,91,82,0.9010989010989011,0.15853658536585366
link6_sensor_1,link6,pregrasp,611,611,1.0,0.05237315875613748
link6_sensor_1,link6,grasp_lift,868,868,1.0,0.16705069124423963
link6_sensor_1,link6,transit,264,264,1.0,0.13257575757575757
link6_sensor_1,link6,place,349,349,1.0,0.12320916905444126
link6_sensor_1,link6,post_place,1245,1245,1.0,0.05622489959839357
link6_sensor_1,link6,unknown,495,495,1.0,0.0
link6_sensor_2,link6,approach,91,82,0.9010989010989011,0.18292682926829268
link6_sensor_2,link6,pregrasp,611,611,1.0,0.054009819967266774
link6_sensor_2,link6,grasp_lift,868,868,1.0,0.1336405529953917
link6_sensor_2,link6,transit,264,264,1.0,0.13636363636363635
link6_sensor_2,link6,place,349,349,1.0,0.15472779369627507
link6_sensor_2,link6,post_place,1245,1245,1.0,0.09718875502008033
link6_sensor_2,link6,unknown,495,495,1.0,0.06666666666666667
link6_sensor_3,link6,approach,91,82,0.9010989010989011,0.0975609756097561
link6_sensor_3,link6,pregrasp,611,611,1.0,0.06710310965630115
link6_sensor_3,link6,grasp_lift,868,868,1.0,0.20967741935483872
link6_sensor_3,link6,transit,264,264,1.0,0.125
link6_sensor_3,link6,place,349,349,1.0,0.07736389684813753
link6_sensor_3,link6,post_place,1245,1245,1.0,0.06666666666666667
link6_sensor_3,link6,unknown,495,495,1.0,0.06666666666666667
link6_sensor_4,link6,approach,91,82,0.9010989010989011,0.25609756097560976
link6_sensor_4,link6,pregrasp,611,611,1.0,0.060556464811783964
link6_sensor_4,link6,grasp_lift,868,868,1.0,0.26497695852534564
link6_sensor_4,link6,transit,264,264,1.0,0.18181818181818182
link6_sensor_4,link6,place,349,349,1.0,0.20057306590257878
