house_id,sensor_name,link,n_frames,n_valid_frames,valid_frame_ratio,activation_lt_0_50m,activation_lt_0_20m,activation_lt_0_10m,activation_lt_0_05m,near_saturation_lt_0_05m,raw_frame_activation_lt_0_50m,raw_frame_activation_lt_0_20m,raw_frame_activation_lt_0_10m,raw_frame_activation_lt_0_05m,mean_min_depth_m,std_min_depth_m,p05_min_depth_m,p50_min_depth_m,p95_min_depth_m,min_depth_m,median_within_traj_std_m,median_frame_to_frame_abs_diff_m,success_activation_lt_0_20m,failure_activation_lt_0_20m,success_minus_failure_activation_lt_0_20m,phase_approach_n_frames,phase_approach_n_valid_frames,phase_approach_valid_frame_ratio,phase_approach_activation_lt_0_20m,phase_pregrasp_n_frames,phase_pregrasp_n_valid_frames,phase_pregrasp_valid_frame_ratio,phase_pregrasp_activation_lt_0_20m,phase_grasp_lift_n_frames,phase_grasp_lift_n_valid_frames,phase_grasp_lift_valid_frame_ratio,phase_grasp_lift_activation_lt_0_20m,phase_transit_n_frames,phase_transit_n_valid_frames,phase_transit_valid_frame_ratio,phase_transit_activation_lt_0_20m,phase_place_n_frames,phase_place_n_valid_frames,phase_place_valid_frame_ratio,phase_place_activation_lt_0_20m,phase_post_place_n_frames,phase_post_place_n_valid_frames,phase_post_place_valid_frame_ratio,phase_post_place_activation_lt_0_20m,phase_unknown_n_frames,phase_unknown_n_valid_frames,phase_unknown_valid_frame_ratio,phase_unknown_activation_lt_0_20m,phase_spread_active_phase_count,suspicious_self_sensing,suspicious_reason
house_1,link2_sensor_0,link2,258,258,1.0,0.2713178294573643,0.003875968992248062,0.0,0.0,0.0,0.2713178294573643,0.003875968992248062,0.0,0.0,1.2095087021011715,0.626372660381289,0.28614428639411926,1.3188724517822266,1.9842426657676697,0.18241263926029205,0.626372660381289,0.004070401191711426,0.003875968992248062,,,6,6,1.0,0.16666666666666666,35,35,1.0,0.0,49,49,1.0,0.0,32,32,1.0,0.0,20,20,1.0,0.0,83,83,1.0,0.0,33,33,1.0,0.0,0,False,
house_1,link2_sensor_1,link2,258,258,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1323180981846743,0.30925599039886326,0.8207265228033066,0.9422225952148438,1.5739705085754394,0.8197327256202698,0.30925599039886326,0.006408393383026123,0.0,,,6,6,1.0,0.0,35,35,1.0,0.0,49,49,1.0,0.0,32,32,1.0,0.0,20,20,1.0,0.0,83,83,1.0,0.0,33,33,1.0,0.0,0,False,
house_1,link2_sensor_2,link2,258,258,1.0,0.01937984496124031,0.015503875968992248,0.015503875968992248,0.015503875968992248,0.015503875968992248,0.01937984496124031,0.015503875968992248,0.015503875968992248,0.015503875968992248,1.659863175867602,0.32390456800978024,1.2729923844337463,1.6749457716941833,1.9906677842140197,0.04119356349110603,0.32390456800978024,0.00406193733215332,0.015503875968992248,,,6,6,1.0,0.0,35,35,1.0,0.0,49,49,1.0,0.0,32,32,1.0,0.0,20,20,1.0,0.0,83,83,1.0,0.0,33,33,1.0,0.12121212121212122,0,False,
house_1,link2_sensor_3,link2,258,258,1.0,0.18604651162790697,0.0,0.0,0.0,0.0,0.18604651162790697,0.0,0.0,0.0,0.7703621903824251,0.33086838406657926,0.28541566580533984,0.6701279878616333,1.2271966934204102,0.28492096066474915,0.33086838406657926,0.0027551651000976562,0.0,,,6,6,1.0,0.0,35,35,1.0,0.0,49,49,1.0,0.0,32,32,1.0,0.0,20,20,1.0,0.0,83,83,1.0,0.0,33,33,1.0,0.0,0,False,
house_1,link2_sensor_4,link2,258,258,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8187269295832909,0.1757997893842186,1.5670239865779876,1.773353099822998,2.219173347949982,1.5644073486328125,0.1757997893842186,0.005084037780761719,0.0,,,6,6,1.0,0.0,35,35,1.0,0.0,49,49,1.0,0.0,32,32,1.0,0.0,20,20,1.0,0.0,83,83,1.0,0.0,33,33,1.0,0.0,0,False,
house_1,link2_sensor_5,link2,258,258,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.584445986174798,0.07255594318167921,1.4568044364452362,1.5792133808135986,1.6946841955184937,1.4545249938964844,0.07255594318167921,0.0038524866104125977,0.0,,,6,6,1.0,0.0,35,35,1.0,0.0,49,49,1.0,0.0,32,32,1.0,0.0,20,20,1.0,0.0,83,83,1.0,0.0,33,33,1.0,0.0,0,False,
house_1,link2_sensor_6,link2,258,258,1.0,0.7441860465116279,0.0,0.0,0.0,0.0,0.7441860465116279,0.0,0.0,0.0,0.34940654247306113,0.12840950563705278,0.252936977148056,0.2853529453277588,0.5696200728416443,0.25290805101394653,0.12840950563705278,0.0008737444877624512,0.0,,,6,6,1.0,0.0,35,35,1.0,0.0,49,49,1.0,0.0,32,32,1.0,0.0,20,20,1.0,0.0,83,83,1.0,0.0,33,33,1.0,0.0,0,False,
house_1,link3_sensor_0,link3,258,258,1.0,0.003875968992248062,0.0,0.0,0.0,0.0,0.003875968992248062,0.0,0.0,0.0,2.1792098403901092,0.24216964198676935,1.767495149374008,2.24128520488739,2.4938413858413697,0.4255489110946655,0.24216964198676935,0.007969379425048828,0.0,,,6,6,1.0,0.0,35,35,1.0,0.0,49,49,1.0,0.0,32,32,1.0,0.0,20,20,1.0,0.0,83,83,1.0,0.0,33,33,1.0,0.0,0,False,
house_1,link3_sensor_1,link3,258,258,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6149438025877458,0.5620560483707535,0.8360794186592102,1.6809598207473755,2.3496896505355824,0.6443061232566833,0.5620560483707535,0.006262779235839844,0.0,,,6,6,1.0,0.0,35,35,1.0,0.0,49,49,1.0,0.0,32,32,1.0,0.0,20,20,1.0,0.0,83,83,1.0,0.0,33,33,1.0,0.0,0,False,
house_1,link3_sensor_2,link3,258,258,1.0,1.0,0.32170542635658916,0.0,0.0,0.0,1.0,0.32170542635658916,0.0,0.0,0.23111712493637734,0.04933237071922714,0.1618844226002693,0.24170611053705215,0.3127491816878319,0.1618681252002716,0.04933237071922714,0.0009281039237976074,0.32170542635658916,,,6,6,1.0,0.0,35,35,1.0,0.45714285714285713,49,49,1.0,0.0,32,32,1.0,0.0,20,20,1.0,0.0,83,83,1.0,0.40963855421686746,33,33,1.0,1.0,3,False,
