link,phase,n_frames,n_valid_frames,valid_frame_ratio,activation_lt_0_20m
link2,approach,644,574,0.8913043478260869,0.020905923344947737
link2,pregrasp,4018,4018,1.0,0.012692882030861125
link2,grasp_lift,6013,6013,1.0,0.03276234824546815
link2,transit,2296,2296,1.0,0.025261324041811847
link2,place,2779,2779,1.0,0.022310183519251528
link2,post_place,8715,8715,1.0,0.022719449225473323
link2,unknown,3290,3290,1.0,0.03130699088145897
link3,approach,736,656,0.8913043478260869,0.01524390243902439
link3,pregrasp,4592,4592,1.0,0.014155052264808362
link3,grasp_lift,6872,6872,1.0,0.021245634458672877
link3,transit,2624,2623,0.9996189024390244,0.025162028211971027
link3,place,3176,3176,1.0,0.02455919395465995
link3,post_place,9960,9960,1.0,0.028313253012048192
link3,unknown,3760,3760,1.0,0.035106382978723406
link5,approach,552,492,0.8913043478260869,0.016260162601626018
link5,pregrasp,3444,3437,0.9979674796747967,0.0002909514111143439
link5,grasp_lift,5154,5154,1.0,0.02017850213426465
link5,transit,1968,1968,1.0,0.0020325203252032522
link5,place,2382,2382,1.0,0.0008396305625524769
link5,post_place,7470,7456,0.9981258366800535,0.0002682403433476395
link5,unknown,2820,2787,0.9882978723404255,0.0
link6,approach,736,656,0.8913043478260869,0.07621951219512195
link6,pregrasp,4592,4585,0.9984756097560976,0.049291166848418756
link6,grasp_lift,6872,6872,1.0,0.18669965075669384
link6,transit,2624,2620,0.9984756097560976,0.13511450381679388
link6,place,3176,3165,0.996536523929471,0.03981042654028436
link6,post_place,9960,9942,0.9981927710843373,0.025849929591631463
link6,unknown,3760,3760,1.0,0.026329787234042553
