sensor_name,link,phase,n_frames,n_valid_frames,valid_frame_ratio,activation_lt_0_20m
link2_sensor_0,link2,approach,92,82,0.8913043478260869,0.012195121951219513
link2_sensor_0,link2,pregrasp,574,574,1.0,0.03484320557491289
link2_sensor_0,link2,grasp_lift,859,859,1.0,0.0570430733410943
link2_sensor_0,link2,transit,328,328,1.0,0.042682926829268296
link2_sensor_0,link2,place,397,397,1.0,0.0
link2_sensor_0,link2,post_place,1245,1245,1.0,0.024899598393574297
link2_sensor_0,link2,unknown,470,470,1.0,0.07021276595744681
link2_sensor_1,link2,approach,92,82,0.8913043478260869,0.0
link2_sensor_1,link2,pregrasp,574,574,1.0,0.0
link2_sensor_1,link2,grasp_lift,859,859,1.0,0.0
link2_sensor_1,link2,transit,328,328,1.0,0.0
link2_sensor_1,link2,place,397,397,1.0,0.0
link2_sensor_1,link2,post_place,1245,1245,1.0,0.0008032128514056225
link2_sensor_1,link2,unknown,470,470,1.0,0.0
link2_sensor_2,link2,approach,92,82,0.8913043478260869,0.0
link2_sensor_2,link2,pregrasp,574,574,1.0,0.003484320557491289
link2_sensor_2,link2,grasp_lift,859,859,1.0,0.0570430733410943
link2_sensor_2,link2,transit,328,328,1.0,0.009146341463414634
link2_sensor_2,link2,place,397,397,1.0,0.0
link2_sensor_2,link2,post_place,1245,1245,1.0,0.0
link2_sensor_2,link2,unknown,470,470,1.0,0.00851063829787234
link2_sensor_3,link2,approach,92,82,0.8913043478260869,0.0
link2_sensor_3,link2,pregrasp,574,574,1.0,0.0
link2_sensor_3,link2,grasp_lift,859,859,1.0,0.002328288707799767
link2_sensor_3,link2,transit,328,328,1.0,0.0
link2_sensor_3,link2,place,397,397,1.0,0.0
link2_sensor_3,link2,post_place,1245,1245,1.0,0.0
link2_sensor_3,link2,unknown,470,470,1.0,0.0
link2_sensor_4,link2,approach,92,82,0.8913043478260869,0.0
link2_sensor_4,link2,pregrasp,574,574,1.0,0.0
link2_sensor_4,link2,grasp_lift,859,859,1.0,0.0
link2_sensor_4,link2,transit,328,328,1.0,0.0
link2_sensor_4,link2,place,397,397,1.0,0.0
link2_sensor_4,link2,post_place,1245,1245,1.0,0.0
link2_sensor_4,link2,unknown,470,470,1.0,0.0
link2_sensor_5,link2,approach,92,82,0.8913043478260869,0.0
link2_sensor_5,link2,pregrasp,574,574,1.0,0.0
link2_sensor_5,link2,grasp_lift,859,859,1.0,0.0
link2_sensor_5,link2,transit,328,328,1.0,0.0
link2_sensor_5,link2,place,397,397,1.0,0.0
link2_sensor_5,link2,post_place,1245,1245,1.0,0.0
link2_sensor_5,link2,unknown,470,470,1.0,0.0
link2_sensor_6,link2,approach,92,82,0.8913043478260869,0.13414634146341464
link2_sensor_6,link2,pregrasp,574,574,1.0,0.050522648083623695
link2_sensor_6,link2,grasp_lift,859,859,1.0,0.11292200232828871
link2_sensor_6,link2,transit,328,328,1.0,0.125
link2_sensor_6,link2,place,397,397,1.0,0.1561712846347607
link2_sensor_6,link2,post_place,1245,1245,1.0,0.13333333333333333
link2_sensor_6,link2,unknown,470,470,1.0,0.14042553191489363
link3_sensor_0,link3,approach,92,82,0.8913043478260869,0.0
link3_sensor_0,link3,pregrasp,574,574,1.0,0.0
link3_sensor_0,link3,grasp_lift,859,859,1.0,0.0
link3_sensor_0,link3,transit,328,327,0.9969512195121951,0.0
link3_sensor_0,link3,place,397,397,1.0,0.0
link3_sensor_0,link3,post_place,1245,1245,1.0,0.0
link3_sensor_0,link3,unknown,470,470,1.0,0.0
link3_sensor_1,link3,approach,92,82,0.8913043478260869,0.0
link3_sensor_1,link3,pregrasp,574,574,1.0,0.0
link3_sensor_1,link3,grasp_lift,859,859,1.0,0.0
link3_sensor_1,link3,transit,328,328,1.0,0.0
link3_sensor_1,link3,place,397,397,1.0,0.0
link3_sensor_1,link3,post_place,1245,1245,1.0,0.0008032128514056225
link3_sensor_1,link3,unknown,470,470,1.0,0.0
link3_sensor_2,link3,approach,92,82,0.8913043478260869,0.12195121951219512
link3_sensor_2,link3,pregrasp,574,574,1.0,0.078397212543554
link3_sensor_2,link3,grasp_lift,859,859,1.0,0.11292200232828871
link3_sensor_2,link3,transit,328,328,1.0,0.12804878048780488
link3_sensor_2,link3,place,397,397,1.0,0.1561712846347607
link3_sensor_2,link3,post_place,1245,1245,1.0,0.1606425702811245
link3_sensor_2,link3,unknown,470,470,1.0,0.21063829787234042
link3_sensor_3,link3,approach,92,82,0.8913043478260869,0.0
link3_sensor_3,link3,pregrasp,574,574,1.0,0.0
link3_sensor_3,link3,grasp_lift,859,859,1.0,0.0
link3_sensor_3,link3,transit,328,328,1.0,0.0
link3_sensor_3,link3,place,397,397,1.0,0.0
link3_sensor_3,link3,post_place,1245,1245,1.0,0.0
link3_sensor_3,link3,unknown,470,470,1.0,0.0
link3_sensor_4,link3,approach,92,82,0.8913043478260869,0.0
link3_sensor_4,link3,pregrasp,574,574,1.0,0.0
link3_sensor_4,link3,grasp_lift,859,859,1.0,0.0
link3_sensor_4,link3,transit,328,328,1.0,0.0
link3_sensor_4,link3,place,397,397,1.0,0.0
link3_sensor_4,link3,post_place,1245,1245,1.0,0.0
link3_sensor_4,link3,unknown,470,470,1.0,0.0
link3_sensor_5,link3,approach,92,82,0.8913043478260869,0.0
link3_sensor_5,link3,pregrasp,574,574,1.0,0.0
link3_sensor_5,link3,grasp_lift,859,859,1.0,0.0
link3_sensor_5,link3,transit,328,328,1.0,0.003048780487804878
link3_sensor_5,link3,place,397,397,1.0,0.0
link3_sensor_5,link3,post_place,1245,1245,1.0,0.0008032128514056225
link3_sensor_5,link3,unknown,470,470,1.0,0.0
link3_sensor_6,link3,approach,92,82,0.8913043478260869,0.0
link3_sensor_6,link3,pregrasp,574,574,1.0,0.03484320557491289
link3_sensor_6,link3,grasp_lift,859,859,1.0,0.0570430733410943
link3_sensor_6,link3,transit,328,328,1.0,0.0701219512195122
link3_sensor_6,link3,place,397,397,1.0,0.04030226700251889
link3_sensor_6,link3,post_place,1245,1245,1.0,0.0642570281124498
link3_sensor_6,link3,unknown,470,470,1.0,0.07021276595744681
link3_sensor_7,link3,approach,92,82,0.8913043478260869,0.0
link3_sensor_7,link3,pregrasp,574,574,1.0,0.0
link3_sensor_7,link3,grasp_lift,859,859,1.0,0.0
link3_sensor_7,link3,transit,328,328,1.0,0.0
link3_sensor_7,link3,place,397,397,1.0,0.0
link3_sensor_7,link3,post_place,1245,1245,1.0,0.0
link3_sensor_7,link3,unknown,470,470,1.0,0.0
link5_sensor_0,link5,approach,92,82,0.8913043478260869,0.012195121951219513
link5_sensor_0,link5,pregrasp,574,571,0.9947735191637631,0.0
link5_sensor_0,link5,grasp_lift,859,859,1.0,0.0
link5_sensor_0,link5,transit,328,328,1.0,0.0
link5_sensor_0,link5,place,397,397,1.0,0.0
link5_sensor_0,link5,post_place,1245,1245,1.0,0.0
link5_sensor_0,link5,unknown,470,470,1.0,0.0
link5_sensor_1,link5,approach,92,82,0.8913043478260869,0.012195121951219513
link5_sensor_1,link5,pregrasp,574,570,0.9930313588850174,0.0
link5_sensor_1,link5,grasp_lift,859,859,1.0,0.0
link5_sensor_1,link5,transit,328,328,1.0,0.0
link5_sensor_1,link5,place,397,397,1.0,0.0
link5_sensor_1,link5,post_place,1245,1245,1.0,0.0
link5_sensor_1,link5,unknown,470,470,1.0,0.0
link5_sensor_2,link5,approach,92,82,0.8913043478260869,0.012195121951219513
link5_sensor_2,link5,pregrasp,574,574,1.0,0.0
link5_sensor_2,link5,grasp_lift,859,859,1.0,0.0
link5_sensor_2,link5,transit,328,328,1.0,0.0
link5_sensor_2,link5,place,397,397,1.0,0.0
link5_sensor_2,link5,post_place,1245,1245,1.0,0.0
link5_sensor_2,link5,unknown,470,470,1.0,0.0
link5_sensor_3,link5,approach,92,82,0.8913043478260869,0.024390243902439025
link5_sensor_3,link5,pregrasp,574,574,1.0,0.0
link5_sensor_3,link5,grasp_lift,859,859,1.0,0.119906868451688
link5_sensor_3,link5,transit,328,328,1.0,0.012195121951219513
link5_sensor_3,link5,place,397,397,1.0,0.0
link5_sensor_3,link5,post_place,1245,1238,0.9943775100401606,0.0
link5_sensor_3,link5,unknown,470,437,0.9297872340425531,0.0
link5_sensor_4,link5,approach,92,82,0.8913043478260869,0.024390243902439025
link5_sensor_4,link5,pregrasp,574,574,1.0,0.0017421602787456446
link5_sensor_4,link5,grasp_lift,859,859,1.0,0.0011641443538998836
link5_sensor_4,link5,transit,328,328,1.0,0.0
link5_sensor_4,link5,place,397,397,1.0,0.005037783375314861
link5_sensor_4,link5,post_place,1245,1245,1.0,0.001606425702811245
link5_sensor_4,link5,unknown,470,470,1.0,0.0
link5_sensor_5,link5,approach,92,82,0.8913043478260869,0.012195121951219513
link5_sensor_5,link5,pregrasp,574,574,1.0,0.0
link5_sensor_5,link5,grasp_lift,859,859,1.0,0.0
link5_sensor_5,link5,transit,328,328,1.0,0.0
link5_sensor_5,link5,place,397,397,1.0,0.0
link5_sensor_5,link5,post_place,1245,1238,0.9943775100401606,0.0
link5_sensor_5,link5,unknown,470,470,1.0,0.0
link6_sensor_0,link6,approach,92,82,0.8913043478260869,0.012195121951219513
link6_sensor_0,link6,pregrasp,574,574,1.0,0.07665505226480836
link6_sensor_0,link6,grasp_lift,859,859,1.0,0.2270081490104773
link6_sensor_0,link6,transit,328,328,1.0,0.14939024390243902
link6_sensor_0,link6,place,397,397,1.0,0.0
link6_sensor_0,link6,post_place,1245,1245,1.0,0.04819277108433735
link6_sensor_0,link6,unknown,470,470,1.0,0.07021276595744681
link6_sensor_1,link6,approach,92,82,0.8913043478260869,0.0975609756097561
link6_sensor_1,link6,pregrasp,574,574,1.0,0.08188153310104529
link6_sensor_1,link6,grasp_lift,859,859,1.0,0.23864959254947612
link6_sensor_1,link6,transit,328,328,1.0,0.18902439024390244
