link,phase,n_frames,n_valid_frames,valid_frame_ratio,activation_lt_0_20m
link2,approach,1225,1176,0.96,0.1360544217687075
link2,pregrasp,4795,4760,0.9927007299270073,0.08319327731092437
link2,grasp_lift,13902,13902,1.0,0.14695727233491584
link2,transit,3913,3913,1.0,0.1277791975466394
link2,place,4886,4886,1.0,0.14101514531313958
link2,post_place,16303,16303,1.0,0.12807458749923328
link2,unknown,6097,6097,1.0,0.09414466130884042
link3,approach,1400,1340,0.9571428571428572,0.10746268656716418
link3,pregrasp,5480,5440,0.9927007299270073,0.07518382352941176
link3,grasp_lift,15888,15888,1.0,0.10743957703927492
link3,transit,4472,4472,1.0,0.08676207513416816
link3,place,5584,5574,0.9982091690544412,0.11230714029422317
link3,post_place,18632,18630,0.9998926577930443,0.09506172839506173
link3,unknown,6968,6968,1.0,0.08022388059701492
link5,approach,1050,998,0.9504761904761905,0.20140280561122245
link5,pregrasp,4110,4080,0.9927007299270073,0.1232843137254902
link5,grasp_lift,11916,11916,1.0,0.21743873783148707
link5,transit,3354,3342,0.9964221824686941,0.22740873728306404
link5,place,4188,4141,0.9887774594078319,0.2298961603477421
link5,post_place,13974,13907,0.995205381422642,0.18494283454375493
link5,unknown,5226,5226,1.0,0.11308840413318025
link6,approach,1400,1333,0.9521428571428572,0.29182295573893474
link6,pregrasp,5480,5440,0.9927007299270073,0.15753676470588235
link6,grasp_lift,15888,15888,1.0,0.3149546827794562
link6,transit,4472,4472,1.0,0.23501788908765653
link6,place,5584,5521,0.9887177650429799,0.28237638109038216
link6,post_place,18632,18563,0.9962966938600257,0.1900554867208964
link6,unknown,6968,6968,1.0,0.10878300803673938
