sensor_name,link,phase,n_frames,n_valid_frames,valid_frame_ratio,activation_lt_0_20m
link2_sensor_0,link2,approach,175,168,0.96,0.07142857142857142
link2_sensor_0,link2,pregrasp,685,680,0.9927007299270073,0.03529411764705882
link2_sensor_0,link2,grasp_lift,1986,1986,1.0,0.09214501510574018
link2_sensor_0,link2,transit,559,559,1.0,0.06976744186046512
link2_sensor_0,link2,place,698,698,1.0,0.07449856733524356
link2_sensor_0,link2,post_place,2329,2329,1.0,0.072992700729927
link2_sensor_0,link2,unknown,871,871,1.0,0.05625717566016074
link2_sensor_1,link2,approach,175,168,0.96,0.13095238095238096
link2_sensor_1,link2,pregrasp,685,680,0.9927007299270073,0.04852941176470588
link2_sensor_1,link2,grasp_lift,1986,1986,1.0,0.11329305135951662
link2_sensor_1,link2,transit,559,559,1.0,0.1001788908765653
link2_sensor_1,link2,place,698,698,1.0,0.14040114613180515
link2_sensor_1,link2,post_place,2329,2329,1.0,0.10777157578359811
link2_sensor_1,link2,unknown,871,871,1.0,0.05625717566016074
link2_sensor_2,link2,approach,175,168,0.96,0.07142857142857142
link2_sensor_2,link2,pregrasp,685,680,0.9927007299270073,0.03529411764705882
link2_sensor_2,link2,grasp_lift,1986,1986,1.0,0.0931520644511581
link2_sensor_2,link2,transit,559,559,1.0,0.07155635062611806
link2_sensor_2,link2,place,698,698,1.0,0.07593123209169055
link2_sensor_2,link2,post_place,2329,2329,1.0,0.07513954486904251
link2_sensor_2,link2,unknown,871,871,1.0,0.05625717566016074
link2_sensor_3,link2,approach,175,168,0.96,0.19642857142857142
link2_sensor_3,link2,pregrasp,685,680,0.9927007299270073,0.1338235294117647
link2_sensor_3,link2,grasp_lift,1986,1986,1.0,0.23564954682779457
link2_sensor_3,link2,transit,559,559,1.0,0.2075134168157424
link2_sensor_3,link2,place,698,698,1.0,0.21060171919770773
link2_sensor_3,link2,post_place,2329,2329,1.0,0.19836839845427223
link2_sensor_3,link2,unknown,871,871,1.0,0.13203214695752008
link2_sensor_4,link2,approach,175,168,0.96,0.13690476190476192
link2_sensor_4,link2,pregrasp,685,680,0.9927007299270073,0.051470588235294115
link2_sensor_4,link2,grasp_lift,1986,1986,1.0,0.12084592145015106
link2_sensor_4,link2,transit,559,559,1.0,0.10196779964221825
link2_sensor_4,link2,place,698,698,1.0,0.14326647564469913
link2_sensor_4,link2,post_place,2329,2329,1.0,0.10176041219407471
link2_sensor_4,link2,unknown,871,871,1.0,0.05625717566016074
link2_sensor_5,link2,approach,175,168,0.96,0.14285714285714285
link2_sensor_5,link2,pregrasp,685,680,0.9927007299270073,0.0838235294117647
link2_sensor_5,link2,grasp_lift,1986,1986,1.0,0.12084592145015106
link2_sensor_5,link2,transit,559,559,1.0,0.11091234347048301
link2_sensor_5,link2,place,698,698,1.0,0.14040114613180515
link2_sensor_5,link2,post_place,2329,2329,1.0,0.1210820094461142
link2_sensor_5,link2,unknown,871,871,1.0,0.09414466130884042
link2_sensor_6,link2,approach,175,168,0.96,0.20238095238095238
link2_sensor_6,link2,pregrasp,685,680,0.9927007299270073,0.19411764705882353
link2_sensor_6,link2,grasp_lift,1986,1986,1.0,0.2527693856998993
link2_sensor_6,link2,transit,559,559,1.0,0.23255813953488372
link2_sensor_6,link2,place,698,698,1.0,0.2020057306590258
link2_sensor_6,link2,post_place,2329,2329,1.0,0.21940747101760413
link2_sensor_6,link2,unknown,871,871,1.0,0.20780711825487944
link3_sensor_0,link3,approach,175,168,0.96,0.07142857142857142
link3_sensor_0,link3,pregrasp,685,680,0.9927007299270073,0.052941176470588235
link3_sensor_0,link3,grasp_lift,1986,1986,1.0,0.09214501510574018
link3_sensor_0,link3,transit,559,559,1.0,0.06797853309481217
link3_sensor_0,link3,place,698,698,1.0,0.07306590257879657
link3_sensor_0,link3,post_place,2329,2329,1.0,0.07556891369686561
link3_sensor_0,link3,unknown,871,871,1.0,0.09414466130884042
link3_sensor_1,link3,approach,175,168,0.96,0.20238095238095238
link3_sensor_1,link3,pregrasp,685,680,0.9927007299270073,0.061764705882352944
link3_sensor_1,link3,grasp_lift,1986,1986,1.0,0.1067472306143001
link3_sensor_1,link3,transit,559,559,1.0,0.1037567084078712
link3_sensor_1,link3,place,698,698,1.0,0.1977077363896848
link3_sensor_1,link3,post_place,2329,2329,1.0,0.13095749248604552
link3_sensor_1,link3,unknown,871,871,1.0,0.07577497129735936
link3_sensor_2,link3,approach,175,168,0.96,0.08928571428571429
link3_sensor_2,link3,pregrasp,685,680,0.9927007299270073,0.16029411764705884
link3_sensor_2,link3,grasp_lift,1986,1986,1.0,0.1283987915407855
link3_sensor_2,link3,transit,559,559,1.0,0.07692307692307693
link3_sensor_2,link3,place,698,698,1.0,0.08882521489971347
link3_sensor_2,link3,post_place,2329,2329,1.0,0.0837269214255045
link3_sensor_2,link3,unknown,871,871,1.0,0.07577497129735936
link3_sensor_3,link3,approach,175,168,0.96,0.13690476190476192
link3_sensor_3,link3,pregrasp,685,680,0.9927007299270073,0.06470588235294118
link3_sensor_3,link3,grasp_lift,1986,1986,1.0,0.12084592145015106
link3_sensor_3,link3,transit,559,559,1.0,0.1037567084078712
link3_sensor_3,link3,place,698,698,1.0,0.14469914040114612
link3_sensor_3,link3,post_place,2329,2329,1.0,0.11764705882352941
link3_sensor_3,link3,unknown,871,871,1.0,0.09414466130884042
link3_sensor_4,link3,approach,175,168,0.96,0.13690476190476192
link3_sensor_4,link3,pregrasp,685,680,0.9927007299270073,0.08970588235294118
link3_sensor_4,link3,grasp_lift,1986,1986,1.0,0.12134944612286001
link3_sensor_4,link3,transit,559,559,1.0,0.1037567084078712
link3_sensor_4,link3,place,698,698,1.0,0.16332378223495703
link3_sensor_4,link3,post_place,2329,2329,1.0,0.12194074710176041
link3_sensor_4,link3,unknown,871,871,1.0,0.11366245694603903
link3_sensor_5,link3,approach,175,168,0.96,0.10714285714285714
link3_sensor_5,link3,pregrasp,685,680,0.9927007299270073,0.06470588235294118
link3_sensor_5,link3,grasp_lift,1986,1986,1.0,0.12084592145015106
link3_sensor_5,link3,transit,559,559,1.0,0.10196779964221825
link3_sensor_5,link3,place,698,698,1.0,0.11031518624641834
link3_sensor_5,link3,post_place,2329,2329,1.0,0.10304851867754401
link3_sensor_5,link3,unknown,871,871,1.0,0.07577497129735936
link3_sensor_6,link3,approach,175,164,0.9371428571428572,0.036585365853658534
link3_sensor_6,link3,pregrasp,685,680,0.9927007299270073,0.07058823529411765
link3_sensor_6,link3,grasp_lift,1986,1986,1.0,0.09214501510574018
