sensor_name,link,n_frames,n_valid_frames,valid_frame_ratio,activation_lt_0_50m,activation_lt_0_20m,activation_lt_0_10m,activation_lt_0_05m,near_saturation_lt_0_05m,raw_frame_activation_lt_0_50m,raw_frame_activation_lt_0_20m,raw_frame_activation_lt_0_10m,raw_frame_activation_lt_0_05m,mean_min_depth_m,std_min_depth_m,p05_min_depth_m,p50_min_depth_m,p95_min_depth_m,min_depth_m,median_within_traj_std_m,median_frame_to_frame_abs_diff_m,success_activation_lt_0_20m,failure_activation_lt_0_20m,success_minus_failure_activation_lt_0_20m,phase_approach_n_frames,phase_approach_n_valid_frames,phase_approach_valid_frame_ratio,phase_approach_activation_lt_0_20m,phase_pregrasp_n_frames,phase_pregrasp_n_valid_frames,phase_pregrasp_valid_frame_ratio,phase_pregrasp_activation_lt_0_20m,phase_grasp_lift_n_frames,phase_grasp_lift_n_valid_frames,phase_grasp_lift_valid_frame_ratio,phase_grasp_lift_activation_lt_0_20m,phase_transit_n_frames,phase_transit_n_valid_frames,phase_transit_valid_frame_ratio,phase_transit_activation_lt_0_20m,phase_place_n_frames,phase_place_n_valid_frames,phase_place_valid_frame_ratio,phase_place_activation_lt_0_20m,phase_post_place_n_frames,phase_post_place_n_valid_frames,phase_post_place_valid_frame_ratio,phase_post_place_activation_lt_0_20m,phase_unknown_n_frames,phase_unknown_n_valid_frames,phase_unknown_valid_frame_ratio,phase_unknown_activation_lt_0_20m,phase_spread_active_phase_count,suspicious_self_sensing,suspicious_reason
link2_sensor_0,link2,7303,7291,0.9983568396549364,0.5593197092305582,0.07255520504731862,0.0414209299135921,0.039363598957618984,0.039363598957618984,0.5600438176092017,0.07407914555662057,0.0429960290291661,0.0409420785978365,0.6131085544464895,0.46864107525687676,0.11221713200211525,0.3395625054836273,1.5364225506782532,0.04104915261268616,0.27332476619385376,0.00128936767578125,0.07255520504731862,,,175,168,0.96,0.07142857142857142,685,680,0.9927007299270073,0.03529411764705882,1986,1986,1.0,0.09214501510574018,559,559,1.0,0.06976744186046512,698,698,1.0,0.07449856733524356,2329,2329,1.0,0.072992700729927,871,871,1.0,0.05625717566016074,0,False,
link2_sensor_1,link2,7303,7291,0.9983568396549364,0.3641475792072418,0.10067206144561788,0.03072280894253189,0.0,0.0,0.3651923866904012,0.1021498014514583,0.03231548678625223,0.0016431603450636724,0.7879362756090308,0.5167132356319227,0.1539054736495018,0.7105894088745117,1.754420518875122,0.07955782860517502,0.0875333782260964,0.0009200572967529297,0.10067206144561788,,,175,168,0.96,0.13095238095238096,685,680,0.9927007299270073,0.04852941176470588,1986,1986,1.0,0.11329305135951662,559,559,1.0,0.1001788908765653,698,698,1.0,0.14040114613180515,2329,2329,1.0,0.10777157578359811,871,871,1.0,0.05625717566016074,0,False,
link2_sensor_2,link2,7303,7291,0.9983568396549364,0.2522287752023042,0.07378960362090248,0.01975037717734193,0.0001371553970648745,0.0001371553970648745,0.2534574832260715,0.07531151581541833,0.02136108448582774,0.0017800903738189786,0.8858329980672345,0.52975400960438,0.1515042409300804,0.8208044767379761,1.8012924790382385,0.043150849640369415,0.14466684837753493,0.0016101598739624023,0.07378960362090248,,,175,168,0.96,0.07142857142857142,685,680,0.9927007299270073,0.03529411764705882,1986,1986,1.0,0.0931520644511581,559,559,1.0,0.07155635062611806,698,698,1.0,0.07593123209169055,2329,2329,1.0,0.07513954486904251,871,871,1.0,0.05625717566016074,0,False,
link2_sensor_3,link2,7303,7291,0.9983568396549364,0.494033740227678,0.19640652859690028,0.08599643395967631,0.021121931147990672,0.021121931147990672,0.49486512392167603,0.19772696152266192,0.08749828837464056,0.022730384773380803,0.710465159785284,0.6129416611077092,0.07093925029039383,0.5129451751708984,1.6797160506248474,0.04219777137041092,0.0979488944491949,0.0007394552230834961,0.19640652859690028,,,175,168,0.96,0.19642857142857142,685,680,0.9927007299270073,0.1338235294117647,1986,1986,1.0,0.23564954682779457,559,559,1.0,0.2075134168157424,698,698,1.0,0.21060171919770773,2329,2329,1.0,0.19836839845427223,871,871,1.0,0.13203214695752008,3,False,
link2_sensor_4,link2,7303,7291,0.9983568396549364,0.28487175970374434,0.10163214922507201,0.04114661911946235,0.0,0.0,0.28604683006983433,0.10310831165274545,0.04272216897165548,0.0016431603450636724,0.9969967577272795,0.625581155581707,0.1290551796555519,0.9864428639411926,2.0921772718429565,0.05944070219993591,0.09192204301003855,0.0011200904846191406,0.10163214922507201,,,175,168,0.96,0.13690476190476192,685,680,0.9927007299270073,0.051470588235294115,1986,1986,1.0,0.12084592145015106,559,559,1.0,0.10196779964221825,698,698,1.0,0.14326647564469913,2329,2329,1.0,0.10176041219407471,871,871,1.0,0.05625717566016074,0,False,
link2_sensor_5,link2,7303,7291,0.9983568396549364,0.27691674667398164,0.11589631051981895,0.05637086819366342,0.04114661911946235,0.04114661911946235,0.2781048884020266,0.11734903464329728,0.05792140216349445,0.04272216897165548,0.9990723194277772,0.59293458543559,0.09946548938751221,1.0334882736206055,1.9893585443496704,0.042509496212005615,0.09873440673796292,0.001234889030456543,0.11589631051981895,,,175,168,0.96,0.14285714285714285,685,680,0.9927007299270073,0.0838235294117647,1986,1986,1.0,0.12084592145015106,559,559,1.0,0.11091234347048301,698,698,1.0,0.14040114613180515,2329,2329,1.0,0.1210820094461142,871,871,1.0,0.09414466130884042,0,False,
link2_sensor_6,link2,7303,7291,0.9983568396549364,0.9124948566726101,0.22370045261281032,0.10135783843094226,0.02221917432450967,0.02221917432450967,0.9126386416541148,0.2249760372449678,0.10283445159523484,0.02382582500342325,0.2900871981812626,0.19274506930638216,0.05704805627465248,0.26799488067626953,0.6626743674278259,0.042509496212005615,0.051302928664459624,0.0005109906196594238,0.22370045261281032,,,175,168,0.96,0.20238095238095238,685,680,0.9927007299270073,0.19411764705882353,1986,1986,1.0,0.2527693856998993,559,559,1.0,0.23255813953488372,698,698,1.0,0.2020057306590258,2329,2329,1.0,0.21940747101760413,871,871,1.0,0.20780711825487944,6,True,activation_spread_across_many_phases
link3_sensor_0,link3,7303,7291,0.9983568396549364,0.2581264572760938,0.07927581950349746,0.031134275133726512,0.0001371553970648745,0.0001371553970648745,0.25934547446254963,0.08078871696563056,0.03272627687251815,0.0017800903738189786,1.0202297897409829,0.6356139280231384,0.13625268638134003,1.0214579105377197,2.2614694833755493,0.043557390570640564,0.1173352042669442,0.001373589038848877,0.07927581950349746,,,175,168,0.96,0.07142857142857142,685,680,0.9927007299270073,0.052941176470588235,1986,1986,1.0,0.09214501510574018,559,559,1.0,0.06797853309481217,698,698,1.0,0.07306590257879657,2329,2329,1.0,0.07556891369686561,871,871,1.0,0.09414466130884042,0,False,
link3_sensor_1,link3,7303,7291,0.9983568396549364,0.3077767110135784,0.1172678644904677,0.05239336167878206,0.010286654779865588,0.010286654779865588,0.30891414487197044,0.11871833493085034,0.05395043132959058,0.011912912501711625,0.8006797689761076,0.4885414119319631,0.09657890349626541,0.7760215401649475,1.748124599456787,0.04267695173621178,0.10581784371757007,0.00153312087059021,0.1172678644904677,,,175,168,0.96,0.20238095238095238,685,680,0.9927007299270073,0.061764705882352944,1986,1986,1.0,0.1067472306143001,559,559,1.0,0.1037567084078712,698,698,1.0,0.1977077363896848,2329,2329,1.0,0.13095749248604552,871,871,1.0,0.07577497129735936,1,False,
link3_sensor_2,link3,7303,7291,0.9983568396549364,0.21766561514195584,0.1021807708133315,0.009189411603346591,0.0,0.0,0.21895111597973435,0.10365603176776667,0.010817472271669177,0.0016431603450636724,0.9530457061490737,0.5526620852969691,0.15332891792058945,0.8918493986129761,1.938466489315033,0.06542894244194031,0.18368928679415186,0.0030017197132110596,0.1021807708133315,,,175,168,0.96,0.08928571428571429,685,680,0.9927007299270073,0.16029411764705884,1986,1986,1.0,0.1283987915407855,559,559,1.0,0.07692307692307693,698,698,1.0,0.08882521489971347,2329,2329,1.0,0.0837269214255045,871,871,1.0,0.07577497129735936,0,False,
link3_sensor_3,link3,7303,7291,0.9983568396549364,0.2640241393498834,0.11274173638732685,0.05609655739953367,0.014949938280071321,0.014949938280071321,0.2652334656990278,0.11419964398192524,0.05764754210598384,0.01656853347939203,0.9774289612407064,0.6053607513934143,0.09676533937454224,1.0468772649765015,2.0257619619369507,0.042509496212005615,0.1335045968687969,0.0018869638442993164,0.11274173638732685,,,175,168,0.96,0.13690476190476192,685,680,0.9927007299270073,0.06470588235294118,1986,1986,1.0,0.12084592145015106,559,559,1.0,0.1037567084078712,698,698,1.0,0.14469914040114612,2329,2329,1.0,0.11764705882352941,871,871,1.0,0.09414466130884042,0,False,
link3_sensor_4,link3,7303,7291,0.9983568396549364,0.24591962693731997,0.12069674941708956,0.057879577561377044,0.012343985735838706,0.012343985735838706,0.2471587019033274,0.12214158564973299,0.059427632479802824,0.013966862933041215,1.0742498408931997,0.6643297015696948,0.09336427599191666,1.078005075454712,2.3193655014038086,0.042509496212005615,0.16994112730851604,0.0015076398849487305,0.12069674941708956,,,175,168,0.96,0.13690476190476192,685,680,0.9927007299270073,0.08970588235294118,1986,1986,1.0,0.12134944612286001,559,559,1.0,0.1037567084078712,698,698,1.0,0.16332378223495703,2329,2329,1.0,0.12194074710176041,871,871,1.0,0.11366245694603903,0,False,
link3_sensor_5,link3,7303,7291,0.9983568396549364,0.2678644904676999,0.10176930462213687,0.057468111370182415,0.014401316691811822,0.014401316691811822,0.2690675065041764,0.10324524168150075,0.059016842393536904,0.016020813364370806,0.832144320472521,0.4660565009580682,0.09478852152824402,0.9153250455856323,1.6135136485099792,0.043075356632471085,0.11698973429828212,0.0014013946056365967,0.10176930462213687,,,175,168,0.96,0.10714285714285714,685,680,0.9927007299270073,0.06470588235294118,1986,1986,1.0,0.12084592145015106,559,559,1.0,0.10196779964221825,698,698,1.0,0.11031518624641834,2329,2329,1.0,0.10304851867754401,871,871,1.0,0.07577497129735936,0,False,
link3_sensor_6,link3,7303,7275,0.9961659591948514,0.18378006872852234,0.07243986254295533,0.014570446735395188,0.0,0.0,0.18471860879090785,0.07380528549910996,0.016157743393126114,0.0016431603450636724,0.9591107052651673,0.5430801164351885,0.16762579083442689,0.8956432938575745,1.944243860244751,0.05838225409388542,0.1921781878300902,0.002655923366546631,0.07243986254295533,,,175,164,0.9371428571428572,0.036585365853658534,685,680,0.9927007299270073,0.07058823529411765,1986,1986,1.0,0.09214501510574018,559,559,1.0,0.057245080500894455,698,688,0.9856733524355301,0.036337209302325583,2329,2327,0.9991412623443539,0.06489041684572411,871,871,1.0,0.09414466130884042,0,False,
