link,phase,n_frames,n_valid_frames,valid_frame_ratio,activation_lt_0_20m
link2,approach,602,518,0.8604651162790697,0.0
link2,pregrasp,3808,3808,1.0,0.0002626050420168067
link2,grasp_lift,5495,5495,1.0,0.0
link2,transit,2394,2394,1.0,0.0004177109440267335
link2,place,2387,2387,1.0,0.00041893590280687055
link2,post_place,8134,8134,1.0,0.00012294074256208508
link2,unknown,3185,3185,1.0,0.0
link3,approach,688,592,0.8604651162790697,0.05067567567567568
link3,pregrasp,4352,4352,1.0,0.023667279411764705
link3,grasp_lift,6280,6280,1.0,0.04856687898089172
link3,transit,2736,2736,1.0,0.03070175438596491
link3,place,2728,2728,1.0,0.04655425219941349
link3,post_place,9296,9296,1.0,0.03732788296041308
link3,unknown,3640,3640,1.0,0.0271978021978022
link5,approach,516,444,0.8604651162790697,0.07882882882882883
link5,pregrasp,3264,3257,0.9978553921568627,0.04789683758059564
link5,grasp_lift,4710,4708,0.9995753715498938,0.11023789294817332
link5,transit,2052,2050,0.9990253411306043,0.06
link5,place,2046,2046,1.0,0.06989247311827956
link5,post_place,6972,6912,0.9913941480206541,0.06163194444444445
link5,unknown,2730,2664,0.9758241758241758,0.02515015015015015
link6,approach,688,589,0.8561046511627907,0.21222410865874364
link6,pregrasp,4352,4309,0.9901194852941176,0.22464608957994894
link6,grasp_lift,6280,6145,0.9785031847133758,0.33474369406021154
link6,transit,2736,2727,0.9967105263157895,0.314998166483315
link6,place,2728,2728,1.0,0.20454545454545456
link6,post_place,9296,9295,0.9998924268502581,0.16557288864981173
link6,unknown,3640,3640,1.0,0.07252747252747253
