sensor_name,link,phase,n_frames,n_valid_frames,valid_frame_ratio,activation_lt_0_20m
link2_sensor_0,link2,approach,86,74,0.8604651162790697,0.0
link2_sensor_0,link2,pregrasp,544,544,1.0,0.0
link2_sensor_0,link2,grasp_lift,785,785,1.0,0.0
link2_sensor_0,link2,transit,342,342,1.0,0.0
link2_sensor_0,link2,place,341,341,1.0,0.0
link2_sensor_0,link2,post_place,1162,1162,1.0,0.0
link2_sensor_0,link2,unknown,455,455,1.0,0.0
link2_sensor_1,link2,approach,86,74,0.8604651162790697,0.0
link2_sensor_1,link2,pregrasp,544,544,1.0,0.001838235294117647
link2_sensor_1,link2,grasp_lift,785,785,1.0,0.0
link2_sensor_1,link2,transit,342,342,1.0,0.0029239766081871343
link2_sensor_1,link2,place,341,341,1.0,0.0
link2_sensor_1,link2,post_place,1162,1162,1.0,0.0
link2_sensor_1,link2,unknown,455,455,1.0,0.0
link2_sensor_2,link2,approach,86,74,0.8604651162790697,0.0
link2_sensor_2,link2,pregrasp,544,544,1.0,0.0
link2_sensor_2,link2,grasp_lift,785,785,1.0,0.0
link2_sensor_2,link2,transit,342,342,1.0,0.0
link2_sensor_2,link2,place,341,341,1.0,0.0
link2_sensor_2,link2,post_place,1162,1162,1.0,0.0
link2_sensor_2,link2,unknown,455,455,1.0,0.0
link2_sensor_3,link2,approach,86,74,0.8604651162790697,0.0
link2_sensor_3,link2,pregrasp,544,544,1.0,0.0
link2_sensor_3,link2,grasp_lift,785,785,1.0,0.0
link2_sensor_3,link2,transit,342,342,1.0,0.0
link2_sensor_3,link2,place,341,341,1.0,0.002932551319648094
link2_sensor_3,link2,post_place,1162,1162,1.0,0.0008605851979345956
link2_sensor_3,link2,unknown,455,455,1.0,0.0
link2_sensor_4,link2,approach,86,74,0.8604651162790697,0.0
link2_sensor_4,link2,pregrasp,544,544,1.0,0.0
link2_sensor_4,link2,grasp_lift,785,785,1.0,0.0
link2_sensor_4,link2,transit,342,342,1.0,0.0
link2_sensor_4,link2,place,341,341,1.0,0.0
link2_sensor_4,link2,post_place,1162,1162,1.0,0.0
link2_sensor_4,link2,unknown,455,455,1.0,0.0
link2_sensor_5,link2,approach,86,74,0.8604651162790697,0.0
link2_sensor_5,link2,pregrasp,544,544,1.0,0.0
link2_sensor_5,link2,grasp_lift,785,785,1.0,0.0
link2_sensor_5,link2,transit,342,342,1.0,0.0
link2_sensor_5,link2,place,341,341,1.0,0.0
link2_sensor_5,link2,post_place,1162,1162,1.0,0.0
link2_sensor_5,link2,unknown,455,455,1.0,0.0
link2_sensor_6,link2,approach,86,74,0.8604651162790697,0.0
link2_sensor_6,link2,pregrasp,544,544,1.0,0.0
link2_sensor_6,link2,grasp_lift,785,785,1.0,0.0
link2_sensor_6,link2,transit,342,342,1.0,0.0
link2_sensor_6,link2,place,341,341,1.0,0.0
link2_sensor_6,link2,post_place,1162,1162,1.0,0.0
link2_sensor_6,link2,unknown,455,455,1.0,0.0
link3_sensor_0,link3,approach,86,74,0.8604651162790697,0.06756756756756757
link3_sensor_0,link3,pregrasp,544,544,1.0,0.0
link3_sensor_0,link3,grasp_lift,785,785,1.0,0.030573248407643312
link3_sensor_0,link3,transit,342,342,1.0,0.0
link3_sensor_0,link3,place,341,341,1.0,0.020527859237536656
link3_sensor_0,link3,post_place,1162,1162,1.0,0.0025817555938037868
link3_sensor_0,link3,unknown,455,455,1.0,0.0
link3_sensor_1,link3,approach,86,74,0.8604651162790697,0.06756756756756757
link3_sensor_1,link3,pregrasp,544,544,1.0,0.012867647058823529
link3_sensor_1,link3,grasp_lift,785,785,1.0,0.07388535031847134
link3_sensor_1,link3,transit,342,342,1.0,0.03216374269005848
link3_sensor_1,link3,place,341,341,1.0,0.06744868035190615
link3_sensor_1,link3,post_place,1162,1162,1.0,0.035283993115318414
link3_sensor_1,link3,unknown,455,455,1.0,0.0
link3_sensor_2,link3,approach,86,74,0.8604651162790697,0.06756756756756757
link3_sensor_2,link3,pregrasp,544,544,1.0,0.15257352941176472
link3_sensor_2,link3,grasp_lift,785,785,1.0,0.061146496815286625
link3_sensor_2,link3,transit,342,342,1.0,0.11695906432748537
link3_sensor_2,link3,place,341,341,1.0,0.10850439882697947
link3_sensor_2,link3,post_place,1162,1162,1.0,0.16781411359724613
link3_sensor_2,link3,unknown,455,455,1.0,0.2175824175824176
link3_sensor_3,link3,approach,86,74,0.8604651162790697,0.06756756756756757
link3_sensor_3,link3,pregrasp,544,544,1.0,0.009191176470588236
link3_sensor_3,link3,grasp_lift,785,785,1.0,0.0751592356687898
link3_sensor_3,link3,transit,342,342,1.0,0.03216374269005848
link3_sensor_3,link3,place,341,341,1.0,0.05865102639296188
link3_sensor_3,link3,post_place,1162,1162,1.0,0.03270223752151463
link3_sensor_3,link3,unknown,455,455,1.0,0.0
link3_sensor_4,link3,approach,86,74,0.8604651162790697,0.06756756756756757
link3_sensor_4,link3,pregrasp,544,544,1.0,0.007352941176470588
link3_sensor_4,link3,grasp_lift,785,785,1.0,0.07388535031847134
link3_sensor_4,link3,transit,342,342,1.0,0.03216374269005848
link3_sensor_4,link3,place,341,341,1.0,0.05865102639296188
link3_sensor_4,link3,post_place,1162,1162,1.0,0.030120481927710843
link3_sensor_4,link3,unknown,455,455,1.0,0.0
link3_sensor_5,link3,approach,86,74,0.8604651162790697,0.06756756756756757
link3_sensor_5,link3,pregrasp,544,544,1.0,0.007352941176470588
