sensor_name,link,n_frames,n_valid_frames,valid_frame_ratio,activation_lt_0_50m,activation_lt_0_20m,activation_lt_0_10m,activation_lt_0_05m,near_saturation_lt_0_05m,raw_frame_activation_lt_0_50m,raw_frame_activation_lt_0_20m,raw_frame_activation_lt_0_10m,raw_frame_activation_lt_0_05m,mean_min_depth_m,std_min_depth_m,p05_min_depth_m,p50_min_depth_m,p95_min_depth_m,min_depth_m,median_within_traj_std_m,median_frame_to_frame_abs_diff_m,success_activation_lt_0_20m,failure_activation_lt_0_20m,success_minus_failure_activation_lt_0_20m,phase_approach_n_frames,phase_approach_n_valid_frames,phase_approach_valid_frame_ratio,phase_approach_activation_lt_0_20m,phase_pregrasp_n_frames,phase_pregrasp_n_valid_frames,phase_pregrasp_valid_frame_ratio,phase_pregrasp_activation_lt_0_20m,phase_grasp_lift_n_frames,phase_grasp_lift_n_valid_frames,phase_grasp_lift_valid_frame_ratio,phase_grasp_lift_activation_lt_0_20m,phase_transit_n_frames,phase_transit_n_valid_frames,phase_transit_valid_frame_ratio,phase_transit_activation_lt_0_20m,phase_place_n_frames,phase_place_n_valid_frames,phase_place_valid_frame_ratio,phase_place_activation_lt_0_20m,phase_post_place_n_frames,phase_post_place_n_valid_frames,phase_post_place_valid_frame_ratio,phase_post_place_activation_lt_0_20m,phase_unknown_n_frames,phase_unknown_n_valid_frames,phase_unknown_valid_frame_ratio,phase_unknown_activation_lt_0_20m,phase_spread_active_phase_count,suspicious_self_sensing,suspicious_reason
link2_sensor_0,link2,3715,3703,0.9967698519515478,0.34053470159330274,0.0,0.0,0.0,0.0,0.3426648721399731,0.003230148048452221,0.003230148048452221,0.003230148048452221,1.086648225591146,0.7461355382116486,0.28613555431365967,0.9843599200248718,2.644115018844597,0.28000709414482117,0.5630434368371475,0.0032538175582885742,0.0,,,86,74,0.8604651162790697,0.0,544,544,1.0,0.0,785,785,1.0,0.0,342,342,1.0,0.0,341,341,1.0,0.0,1162,1162,1.0,0.0,455,455,1.0,0.0,0,False,
link2_sensor_1,link2,3715,3703,0.9967698519515478,0.1714825816905212,0.0005401026194977045,0.0005401026194977045,0.0005401026194977045,0.0005401026194977045,0.17415881561238222,0.003768506056527591,0.003768506056527591,0.003768506056527591,0.8490263624727935,0.36271364769563613,0.30310490131378176,0.8467662334442139,1.4124196767807007,0.0497816726565361,0.19427161055886705,0.002061799168586731,0.0005401026194977045,,,86,74,0.8604651162790697,0.0,544,544,1.0,0.001838235294117647,785,785,1.0,0.0,342,342,1.0,0.0029239766081871343,341,341,1.0,0.0,1162,1162,1.0,0.0,455,455,1.0,0.0,0,False,
link2_sensor_2,link2,3715,3703,0.9967698519515478,0.054280313259519306,0.0,0.0,0.0,0.0,0.05733512786002692,0.003230148048452221,0.003230148048452221,0.003230148048452221,1.3687088089458623,0.6099835861802482,0.44686885476112365,1.2927014827728271,2.5992241621017453,0.3591964840888977,0.4433751752996041,0.0053670406341552734,0.0,,,86,74,0.8604651162790697,0.0,544,544,1.0,0.0,785,785,1.0,0.0,342,342,1.0,0.0,341,341,1.0,0.0,1162,1162,1.0,0.0,455,455,1.0,0.0,0,False,
link2_sensor_3,link2,3715,3703,0.9967698519515478,0.4804212800432082,0.0005401026194977045,0.0005401026194977045,0.0005401026194977045,0.0005401026194977045,0.48209959623149395,0.003768506056527591,0.003768506056527591,0.003768506056527591,0.609296381876955,0.2872931053464042,0.24640747755765918,0.5089550018310547,1.1994383454322814,0.04497825354337692,0.18550740317410636,0.001035839319229126,0.0005401026194977045,,,86,74,0.8604651162790697,0.0,544,544,1.0,0.0,785,785,1.0,0.0,342,342,1.0,0.0,341,341,1.0,0.002932551319648094,1162,1162,1.0,0.0008605851979345956,455,455,1.0,0.0,0,False,
link2_sensor_4,link2,3715,3703,0.9967698519515478,0.1007291385363219,0.0,0.0,0.0,0.0,0.10363391655450875,0.003230148048452221,0.003230148048452221,0.003230148048452221,1.3892628015729498,0.745978583993377,0.47749856114387523,1.3269034624099731,3.178757429122925,0.25337696075439453,0.18377519322680197,0.0016442537307739258,0.0,,,86,74,0.8604651162790697,0.0,544,544,1.0,0.0,785,785,1.0,0.0,342,342,1.0,0.0,341,341,1.0,0.0,1162,1162,1.0,0.0,455,455,1.0,0.0,0,False,
link2_sensor_5,link2,3715,3703,0.9967698519515478,0.12179314069673237,0.0,0.0,0.0,0.0,0.12462987886944818,0.003230148048452221,0.003230148048452221,0.003230148048452221,1.3205958572982166,0.6591925913906036,0.45560180246829984,1.322252869606018,2.8781414270401,0.23566238582134247,0.17177961674136294,0.0015870332717895508,0.0,,,86,74,0.8604651162790697,0.0,544,544,1.0,0.0,785,785,1.0,0.0,342,342,1.0,0.0,341,341,1.0,0.0,1162,1162,1.0,0.0,455,455,1.0,0.0,0,False,
link2_sensor_6,link2,3715,3703,0.9967698519515478,0.9527410207939508,0.0,0.0,0.0,0.0,0.9528936742934051,0.003230148048452221,0.003230148048452221,0.003230148048452221,0.31607364915269087,0.07883033442446889,0.25293609499931335,0.28833186626434326,0.4806580781936646,0.22107793390750885,0.05102854197312383,0.00045114755630493164,0.0,,,86,74,0.8604651162790697,0.0,544,544,1.0,0.0,785,785,1.0,0.0,342,342,1.0,0.0,341,341,1.0,0.0,1162,1162,1.0,0.0,455,455,1.0,0.0,0,False,
link3_sensor_0,link3,3715,3703,0.9967698519515478,0.06859303267620848,0.01053200108020524,0.0,0.0,0.0,0.07160161507402422,0.013728129205921938,0.003230148048452221,0.003230148048452221,1.4936469494572147,0.7994880146919588,0.46532205045223235,1.490149974822998,3.0734264850616446,0.19372837245464325,0.26635909569600036,0.002287536859512329,0.01053200108020524,,,86,74,0.8604651162790697,0.06756756756756757,544,544,1.0,0.0,785,785,1.0,0.030573248407643312,342,342,1.0,0.0,341,341,1.0,0.020527859237536656,1162,1162,1.0,0.0025817555938037868,455,455,1.0,0.0,0,False,
link3_sensor_1,link3,3715,3703,0.9967698519515478,0.1747231974075074,0.03915743991358358,0.001080205238995409,0.0008101539292465569,0.0008101539292465569,0.17738896366083445,0.04226110363391655,0.004306864064602961,0.004037685060565276,1.1014180712013542,0.5167133339459491,0.3287426680326462,1.0856906175613403,2.0101771354675293,0.044609520584344864,0.17363081071897002,0.0015628151595592499,0.03915743991358358,,,86,74,0.8604651162790697,0.06756756756756757,544,544,1.0,0.012867647058823529,785,785,1.0,0.07388535031847134,342,342,1.0,0.03216374269005848,341,341,1.0,0.06744868035190615,1162,1162,1.0,0.035283993115318414,455,455,1.0,0.0,0,False,
link3_sensor_2,link3,3715,3703,0.9967698519515478,0.3356737780178234,0.1369160140426681,0.00027005130974885227,0.00027005130974885227,0.00027005130974885227,0.33781965006729475,0.13970390309555855,0.0034993270524899056,0.0034993270524899056,1.0449802103881705,0.7635608371190901,0.16963396966457367,1.0209416151046753,2.6016359090804997,0.041753046214580536,0.25836995719274586,0.0012560784816741943,0.1369160140426681,,,86,74,0.8604651162790697,0.06756756756756757,544,544,1.0,0.15257352941176472,785,785,1.0,0.061146496815286625,342,342,1.0,0.11695906432748537,341,341,1.0,0.10850439882697947,1162,1162,1.0,0.16781411359724613,455,455,1.0,0.2175824175824176,1,False,
