link,phase,n_frames,n_valid_frames,valid_frame_ratio,activation_lt_0_20m
link2,approach,84,77,0.9166666666666666,0.012987012987012988
link2,pregrasp,511,511,1.0,0.10176125244618395
link2,grasp_lift,833,833,1.0,0.07322929171668667
link2,transit,245,245,1.0,0.07755102040816327
link2,place,420,420,1.0,0.0
link2,post_place,1162,1162,1.0,0.06282271944922548
link2,unknown,462,462,1.0,0.07142857142857142
link3,approach,96,88,0.9166666666666666,0.0
link3,pregrasp,584,584,1.0,0.1523972602739726
link3,grasp_lift,952,952,1.0,0.0
link3,transit,280,280,1.0,0.0
link3,place,480,480,1.0,0.0
link3,post_place,1328,1328,1.0,0.1091867469879518
link3,unknown,528,528,1.0,0.375
link5,approach,72,66,0.9166666666666666,0.0
link5,pregrasp,438,438,1.0,0.00228310502283105
link5,grasp_lift,714,714,1.0,0.12324929971988796
link5,transit,210,210,1.0,0.0
link5,place,360,360,1.0,0.0
link5,post_place,996,996,1.0,0.0
link5,unknown,396,396,1.0,0.0
link6,approach,96,88,0.9166666666666666,0.0
link6,pregrasp,584,584,1.0,0.0
link6,grasp_lift,952,952,1.0,0.06092436974789916
link6,transit,280,280,1.0,0.0
link6,place,480,480,1.0,0.0
link6,post_place,1328,1328,1.0,0.0
link6,unknown,528,528,1.0,0.0
