sensor_name,link,phase,n_frames,n_valid_frames,valid_frame_ratio,activation_lt_0_20m
link2_sensor_0,link2,approach,12,11,0.9166666666666666,0.0
link2_sensor_0,link2,pregrasp,73,73,1.0,0.3835616438356164
link2_sensor_0,link2,grasp_lift,119,119,1.0,0.5126050420168067
link2_sensor_0,link2,transit,35,35,1.0,0.5428571428571428
link2_sensor_0,link2,place,60,60,1.0,0.0
link2_sensor_0,link2,post_place,166,166,1.0,0.21084337349397592
link2_sensor_0,link2,unknown,66,66,1.0,0.0
link2_sensor_1,link2,approach,12,11,0.9166666666666666,0.0
link2_sensor_1,link2,pregrasp,73,73,1.0,0.0
link2_sensor_1,link2,grasp_lift,119,119,1.0,0.0
link2_sensor_1,link2,transit,35,35,1.0,0.0
link2_sensor_1,link2,place,60,60,1.0,0.0
link2_sensor_1,link2,post_place,166,166,1.0,0.0
link2_sensor_1,link2,unknown,66,66,1.0,0.0
link2_sensor_2,link2,approach,12,11,0.9166666666666666,0.0
link2_sensor_2,link2,pregrasp,73,73,1.0,0.3287671232876712
link2_sensor_2,link2,grasp_lift,119,119,1.0,0.0
link2_sensor_2,link2,transit,35,35,1.0,0.0
link2_sensor_2,link2,place,60,60,1.0,0.0
link2_sensor_2,link2,post_place,166,166,1.0,0.22289156626506024
link2_sensor_2,link2,unknown,66,66,1.0,0.5
link2_sensor_3,link2,approach,12,11,0.9166666666666666,0.0
link2_sensor_3,link2,pregrasp,73,73,1.0,0.0
link2_sensor_3,link2,grasp_lift,119,119,1.0,0.0
link2_sensor_3,link2,transit,35,35,1.0,0.0
link2_sensor_3,link2,place,60,60,1.0,0.0
link2_sensor_3,link2,post_place,166,166,1.0,0.0
link2_sensor_3,link2,unknown,66,66,1.0,0.0
link2_sensor_4,link2,approach,12,11,0.9166666666666666,0.0
link2_sensor_4,link2,pregrasp,73,73,1.0,0.0
link2_sensor_4,link2,grasp_lift,119,119,1.0,0.0
link2_sensor_4,link2,transit,35,35,1.0,0.0
link2_sensor_4,link2,place,60,60,1.0,0.0
link2_sensor_4,link2,post_place,166,166,1.0,0.0
link2_sensor_4,link2,unknown,66,66,1.0,0.0
link2_sensor_5,link2,approach,12,11,0.9166666666666666,0.0
link2_sensor_5,link2,pregrasp,73,73,1.0,0.0
link2_sensor_5,link2,grasp_lift,119,119,1.0,0.0
link2_sensor_5,link2,transit,35,35,1.0,0.0
link2_sensor_5,link2,place,60,60,1.0,0.0
link2_sensor_5,link2,post_place,166,166,1.0,0.0
link2_sensor_5,link2,unknown,66,66,1.0,0.0
link2_sensor_6,link2,approach,12,11,0.9166666666666666,0.09090909090909091
link2_sensor_6,link2,pregrasp,73,73,1.0,0.0
link2_sensor_6,link2,grasp_lift,119,119,1.0,0.0
link2_sensor_6,link2,transit,35,35,1.0,0.0
link2_sensor_6,link2,place,60,60,1.0,0.0
link2_sensor_6,link2,post_place,166,166,1.0,0.006024096385542169
link2_sensor_6,link2,unknown,66,66,1.0,0.0
link3_sensor_0,link3,approach,12,11,0.9166666666666666,0.0
link3_sensor_0,link3,pregrasp,73,73,1.0,0.1917808219178082
link3_sensor_0,link3,grasp_lift,119,119,1.0,0.0
link3_sensor_0,link3,transit,35,35,1.0,0.0
link3_sensor_0,link3,place,60,60,1.0,0.0
link3_sensor_0,link3,post_place,166,166,1.0,0.12650602409638553
link3_sensor_0,link3,unknown,66,66,1.0,0.5
link3_sensor_1,link3,approach,12,11,0.9166666666666666,0.0
link3_sensor_1,link3,pregrasp,73,73,1.0,0.0
link3_sensor_1,link3,grasp_lift,119,119,1.0,0.0
link3_sensor_1,link3,transit,35,35,1.0,0.0
link3_sensor_1,link3,place,60,60,1.0,0.0
link3_sensor_1,link3,post_place,166,166,1.0,0.0
link3_sensor_1,link3,unknown,66,66,1.0,0.0
link3_sensor_2,link3,approach,12,11,0.9166666666666666,0.0
link3_sensor_2,link3,pregrasp,73,73,1.0,0.1917808219178082
link3_sensor_2,link3,grasp_lift,119,119,1.0,0.0
link3_sensor_2,link3,transit,35,35,1.0,0.0
link3_sensor_2,link3,place,60,60,1.0,0.0
link3_sensor_2,link3,post_place,166,166,1.0,0.1686746987951807
link3_sensor_2,link3,unknown,66,66,1.0,0.5
link3_sensor_3,link3,approach,12,11,0.9166666666666666,0.0
link3_sensor_3,link3,pregrasp,73,73,1.0,0.0821917808219178
link3_sensor_3,link3,grasp_lift,119,119,1.0,0.0
link3_sensor_3,link3,transit,35,35,1.0,0.0
link3_sensor_3,link3,place,60,60,1.0,0.0
link3_sensor_3,link3,post_place,166,166,1.0,0.07228915662650602
link3_sensor_3,link3,unknown,66,66,1.0,0.5
link3_sensor_4,link3,approach,12,11,0.9166666666666666,0.0
link3_sensor_4,link3,pregrasp,73,73,1.0,0.2191780821917808
link3_sensor_4,link3,grasp_lift,119,119,1.0,0.0
link3_sensor_4,link3,transit,35,35,1.0,0.0
link3_sensor_4,link3,place,60,60,1.0,0.0
link3_sensor_4,link3,post_place,166,166,1.0,0.14457831325301204
link3_sensor_4,link3,unknown,66,66,1.0,0.5
link3_sensor_5,link3,approach,12,11,0.9166666666666666,0.0
link3_sensor_5,link3,pregrasp,73,73,1.0,0.2054794520547945
link3_sensor_5,link3,grasp_lift,119,119,1.0,0.0
link3_sensor_5,link3,transit,35,35,1.0,0.0
link3_sensor_5,link3,place,60,60,1.0,0.0
link3_sensor_5,link3,post_place,166,166,1.0,0.12650602409638553
link3_sensor_5,link3,unknown,66,66,1.0,0.5
link3_sensor_6,link3,approach,12,11,0.9166666666666666,0.0
link3_sensor_6,link3,pregrasp,73,73,1.0,0.3287671232876712
link3_sensor_6,link3,grasp_lift,119,119,1.0,0.0
link3_sensor_6,link3,transit,35,35,1.0,0.0
link3_sensor_6,link3,place,60,60,1.0,0.0
link3_sensor_6,link3,post_place,166,166,1.0,0.23493975903614459
link3_sensor_6,link3,unknown,66,66,1.0,0.5
link3_sensor_7,link3,approach,12,11,0.9166666666666666,0.0
link3_sensor_7,link3,pregrasp,73,73,1.0,0.0
link3_sensor_7,link3,grasp_lift,119,119,1.0,0.0
link3_sensor_7,link3,transit,35,35,1.0,0.0
link3_sensor_7,link3,place,60,60,1.0,0.0
link3_sensor_7,link3,post_place,166,166,1.0,0.0
link3_sensor_7,link3,unknown,66,66,1.0,0.0
link5_sensor_0,link5,approach,12,11,0.9166666666666666,0.0
link5_sensor_0,link5,pregrasp,73,73,1.0,0.0136986301369863
link5_sensor_0,link5,grasp_lift,119,119,1.0,0.0
link5_sensor_0,link5,transit,35,35,1.0,0.0
link5_sensor_0,link5,place,60,60,1.0,0.0
link5_sensor_0,link5,post_place,166,166,1.0,0.0
link5_sensor_0,link5,unknown,66,66,1.0,0.0
link5_sensor_1,link5,approach,12,11,0.9166666666666666,0.0
link5_sensor_1,link5,pregrasp,73,73,1.0,0.0
link5_sensor_1,link5,grasp_lift,119,119,1.0,0.0
link5_sensor_1,link5,transit,35,35,1.0,0.0
link5_sensor_1,link5,place,60,60,1.0,0.0
link5_sensor_1,link5,post_place,166,166,1.0,0.0
link5_sensor_1,link5,unknown,66,66,1.0,0.0
link5_sensor_2,link5,approach,12,11,0.9166666666666666,0.0
link5_sensor_2,link5,pregrasp,73,73,1.0,0.0
link5_sensor_2,link5,grasp_lift,119,119,1.0,0.0
link5_sensor_2,link5,transit,35,35,1.0,0.0
link5_sensor_2,link5,place,60,60,1.0,0.0
link5_sensor_2,link5,post_place,166,166,1.0,0.0
link5_sensor_2,link5,unknown,66,66,1.0,0.0
link5_sensor_3,link5,approach,12,11,0.9166666666666666,0.0
link5_sensor_3,link5,pregrasp,73,73,1.0,0.0
link5_sensor_3,link5,grasp_lift,119,119,1.0,0.7394957983193278
link5_sensor_3,link5,transit,35,35,1.0,0.0
link5_sensor_3,link5,place,60,60,1.0,0.0
link5_sensor_3,link5,post_place,166,166,1.0,0.0
link5_sensor_3,link5,unknown,66,66,1.0,0.0
link5_sensor_4,link5,approach,12,11,0.9166666666666666,0.0
link5_sensor_4,link5,pregrasp,73,73,1.0,0.0
link5_sensor_4,link5,grasp_lift,119,119,1.0,0.0
link5_sensor_4,link5,transit,35,35,1.0,0.0
link5_sensor_4,link5,place,60,60,1.0,0.0
link5_sensor_4,link5,post_place,166,166,1.0,0.0
link5_sensor_4,link5,unknown,66,66,1.0,0.0
link5_sensor_5,link5,approach,12,11,0.9166666666666666,0.0
link5_sensor_5,link5,pregrasp,73,73,1.0,0.0
