sensor_name,link,n_frames,n_valid_frames,valid_frame_ratio,activation_lt_0_50m,activation_lt_0_20m,activation_lt_0_10m,activation_lt_0_05m,near_saturation_lt_0_05m,raw_frame_activation_lt_0_50m,raw_frame_activation_lt_0_20m,raw_frame_activation_lt_0_10m,raw_frame_activation_lt_0_05m,mean_min_depth_m,std_min_depth_m,p05_min_depth_m,p50_min_depth_m,p95_min_depth_m,min_depth_m,median_within_traj_std_m,median_frame_to_frame_abs_diff_m,success_activation_lt_0_20m,failure_activation_lt_0_20m,success_minus_failure_activation_lt_0_20m,phase_approach_n_frames,phase_approach_n_valid_frames,phase_approach_valid_frame_ratio,phase_approach_activation_lt_0_20m,phase_pregrasp_n_frames,phase_pregrasp_n_valid_frames,phase_pregrasp_valid_frame_ratio,phase_pregrasp_activation_lt_0_20m,phase_grasp_lift_n_frames,phase_grasp_lift_n_valid_frames,phase_grasp_lift_valid_frame_ratio,phase_grasp_lift_activation_lt_0_20m,phase_transit_n_frames,phase_transit_n_valid_frames,phase_transit_valid_frame_ratio,phase_transit_activation_lt_0_20m,phase_place_n_frames,phase_place_n_valid_frames,phase_place_valid_frame_ratio,phase_place_activation_lt_0_20m,phase_post_place_n_frames,phase_post_place_n_valid_frames,phase_post_place_valid_frame_ratio,phase_post_place_activation_lt_0_20m,phase_unknown_n_frames,phase_unknown_n_valid_frames,phase_unknown_valid_frame_ratio,phase_unknown_activation_lt_0_20m,phase_spread_active_phase_count,suspicious_self_sensing,suspicious_reason
link2_sensor_0,link2,531,530,0.9981167608286252,0.6924528301886792,0.269811320754717,0.0,0.0,0.0,0.6930320150659134,0.2711864406779661,0.0018832391713747645,0.0018832391713747645,0.40915648996267684,0.27787363885259997,0.18129267916083336,0.23102176189422607,0.8365152537822723,0.18058620393276215,0.1367728255736239,0.00043373554944992065,0.269811320754717,,,12,11,0.9166666666666666,0.0,73,73,1.0,0.3835616438356164,119,119,1.0,0.5126050420168067,35,35,1.0,0.5428571428571428,60,60,1.0,0.0,166,166,1.0,0.21084337349397592,66,66,1.0,0.0,4,True,activation_spread_across_many_phases
link2_sensor_1,link2,531,530,0.9981167608286252,0.5188679245283019,0.0,0.0,0.0,0.0,0.519774011299435,0.0018832391713747645,0.0018832391713747645,0.0018832391713747645,0.9740479686350192,0.5199311643382425,0.45030170530080793,0.4991781413555145,1.608266419172287,0.4481680691242218,0.07180322461084225,0.0005931258201599121,0.0,,,12,11,0.9166666666666666,0.0,73,73,1.0,0.0,119,119,1.0,0.0,35,35,1.0,0.0,60,60,1.0,0.0,166,166,1.0,0.0,66,66,1.0,0.0,0,False,
link2_sensor_2,link2,531,530,0.9981167608286252,0.5188679245283019,0.17735849056603772,0.0,0.0,0.0,0.519774011299435,0.17890772128060264,0.0018832391713747645,0.0018832391713747645,0.5134361668577734,0.2985669836238964,0.12845450639724731,0.31195415556430817,0.8839840829372405,0.12845264375209808,0.05622169221385039,0.0008919611573219299,0.17735849056603772,,,12,11,0.9166666666666666,0.0,73,73,1.0,0.3287671232876712,119,119,1.0,0.0,35,35,1.0,0.0,60,60,1.0,0.0,166,166,1.0,0.22289156626506024,66,66,1.0,0.5,3,False,
link2_sensor_3,link2,531,530,0.9981167608286252,0.660377358490566,0.0,0.0,0.0,0.0,0.6610169491525424,0.0018832391713747645,0.0018832391713747645,0.0018832391713747645,0.7629728965039524,0.4647884347955939,0.4004241913557053,0.4527370035648346,1.561485129594803,0.36762988567352295,0.23607846091161352,0.0008516311645507812,0.0,,,12,11,0.9166666666666666,0.0,73,73,1.0,0.0,119,119,1.0,0.0,35,35,1.0,0.0,60,60,1.0,0.0,166,166,1.0,0.0,66,66,1.0,0.0,0,False,
link2_sensor_4,link2,531,530,0.9981167608286252,0.5188679245283019,0.0,0.0,0.0,0.0,0.519774011299435,0.0018832391713747645,0.0018832391713747645,0.0018832391713747645,0.736128414829947,0.3949993523358584,0.21714285016059875,0.47222544252872467,1.3012448728084565,0.2171427607536316,0.1893811509082462,0.001544177532196045,0.0,,,12,11,0.9166666666666666,0.0,73,73,1.0,0.0,119,119,1.0,0.0,35,35,1.0,0.0,60,60,1.0,0.0,166,166,1.0,0.0,66,66,1.0,0.0,0,False,
link2_sensor_5,link2,531,530,0.9981167608286252,0.5188679245283019,0.0,0.0,0.0,0.0,0.519774011299435,0.0018832391713747645,0.0018832391713747645,0.0018832391713747645,0.7413375690860569,0.4126590769895308,0.22211698368191718,0.4525773376226425,1.4224485456943512,0.222116157412529,0.1862044798927222,0.0022695958614349365,0.0,,,12,11,0.9166666666666666,0.0,73,73,1.0,0.0,119,119,1.0,0.0,35,35,1.0,0.0,60,60,1.0,0.0,166,166,1.0,0.0,66,66,1.0,0.0,0,False,
link2_sensor_6,link2,531,530,0.9981167608286252,0.9943396226415094,0.0037735849056603774,0.0018867924528301887,0.0,0.0,0.9943502824858758,0.005649717514124294,0.003766478342749529,0.0018832391713747645,0.3121227465007665,0.08206463950197308,0.25291800796985625,0.2851753681898117,0.4349702462553978,0.06213786453008652,0.08073945465682372,0.00020261108875274658,0.0037735849056603774,,,12,11,0.9166666666666666,0.09090909090909091,73,73,1.0,0.0,119,119,1.0,0.0,35,35,1.0,0.0,60,60,1.0,0.0,166,166,1.0,0.006024096385542169,66,66,1.0,0.0,0,False,
link3_sensor_0,link3,531,530,0.9981167608286252,0.5188679245283019,0.12830188679245283,0.0,0.0,0.0,0.519774011299435,0.12994350282485875,0.0018832391713747645,0.0018832391713747645,0.6451504711694311,0.3404045687050578,0.10150886327028275,0.4791698604822159,1.1054489612579346,0.10150743275880814,0.1697084396991269,0.0017260909080505371,0.12830188679245283,,,12,11,0.9166666666666666,0.0,73,73,1.0,0.1917808219178082,119,119,1.0,0.0,35,35,1.0,0.0,60,60,1.0,0.0,166,166,1.0,0.12650602409638553,66,66,1.0,0.5,1,False,
link3_sensor_1,link3,531,530,0.9981167608286252,0.5188679245283019,0.0,0.0,0.0,0.0,0.519774011299435,0.0018832391713747645,0.0018832391713747645,0.0018832391713747645,0.7877576323893835,0.4659079476481187,0.2274230420589447,0.4723793566226959,1.4906519293785094,0.22742174565792084,0.17117162890326887,0.0010516047477722168,0.0,,,12,11,0.9166666666666666,0.0,73,73,1.0,0.0,119,119,1.0,0.0,35,35,1.0,0.0,60,60,1.0,0.0,166,166,1.0,0.0,66,66,1.0,0.0,0,False,
link3_sensor_2,link3,531,530,0.9981167608286252,0.4075471698113208,0.14150943396226415,0.0,0.0,0.0,0.4086629001883239,0.1431261770244821,0.0018832391713747645,0.0018832391713747645,0.9432394112899619,0.6912741810274246,0.12030129879713058,0.5833774507045746,2.0587647080421445,0.12030024826526642,0.29099549652874346,0.004191294312477112,0.14150943396226415,,,12,11,0.9166666666666666,0.0,73,73,1.0,0.1917808219178082,119,119,1.0,0.0,35,35,1.0,0.0,60,60,1.0,0.0,166,166,1.0,0.1686746987951807,66,66,1.0,0.5,1,False,
