link,phase,n_frames,n_valid_frames,valid_frame_ratio,activation_lt_0_20m
link2,approach,658,588,0.8936170212765957,0.025510204081632654
link2,pregrasp,3598,3598,1.0,0.011395219566425792
link2,grasp_lift,6881,6881,1.0,0.021944484813253888
link2,transit,1953,1953,1.0,0.029697900665642603
link2,place,2240,2240,1.0,0.027678571428571427
link2,post_place,8715,8715,1.0,0.020883534136546186
link2,unknown,3192,3192,1.0,0.011278195488721804
link3,approach,752,672,0.8936170212765957,0.002976190476190476
link3,pregrasp,4112,4112,1.0,0.0
link3,grasp_lift,7864,7864,1.0,0.0
link3,transit,2232,2232,1.0,0.0
link3,place,2560,2556,0.9984375,0.0
link3,post_place,9960,9950,0.998995983935743,0.00010050251256281407
link3,unknown,3648,3648,1.0,0.0
link5,approach,564,504,0.8936170212765957,0.0
link5,pregrasp,3084,3084,1.0,0.008106355382619975
link5,grasp_lift,5898,5898,1.0,0.07951848084096304
link5,transit,1674,1674,1.0,0.03106332138590203
link5,place,1920,1920,1.0,0.0
link5,post_place,7470,7470,1.0,0.0
link5,unknown,2736,2736,1.0,0.0
link6,approach,752,672,0.8936170212765957,0.18898809523809523
link6,pregrasp,4112,4112,1.0,0.15977626459143968
link6,grasp_lift,7864,7864,1.0,0.3139623601220753
link6,transit,2232,2232,1.0,0.24238351254480286
link6,place,2560,2560,1.0,0.172265625
link6,post_place,9960,9960,1.0,0.11857429718875502
link6,unknown,3648,3648,1.0,0.07236842105263158
