sensor_name,link,phase,n_frames,n_valid_frames,valid_frame_ratio,activation_lt_0_20m
link2_sensor_0,link2,approach,94,84,0.8936170212765957,0.0
link2_sensor_0,link2,pregrasp,514,514,1.0,0.0
link2_sensor_0,link2,grasp_lift,983,983,1.0,0.0
link2_sensor_0,link2,transit,279,279,1.0,0.0
link2_sensor_0,link2,place,320,320,1.0,0.0
link2_sensor_0,link2,post_place,1245,1245,1.0,0.0024096385542168677
link2_sensor_0,link2,unknown,456,456,1.0,0.0
link2_sensor_1,link2,approach,94,84,0.8936170212765957,0.05952380952380952
link2_sensor_1,link2,pregrasp,514,514,1.0,0.0
link2_sensor_1,link2,grasp_lift,983,983,1.0,0.0
link2_sensor_1,link2,transit,279,279,1.0,0.007168458781362007
link2_sensor_1,link2,place,320,320,1.0,0.046875
link2_sensor_1,link2,post_place,1245,1245,1.0,0.004819277108433735
link2_sensor_1,link2,unknown,456,456,1.0,0.0
link2_sensor_2,link2,approach,94,84,0.8936170212765957,0.0
link2_sensor_2,link2,pregrasp,514,514,1.0,0.0
link2_sensor_2,link2,grasp_lift,983,983,1.0,0.0
link2_sensor_2,link2,transit,279,279,1.0,0.0
link2_sensor_2,link2,place,320,320,1.0,0.0
link2_sensor_2,link2,post_place,1245,1245,1.0,0.0008032128514056225
link2_sensor_2,link2,unknown,456,456,1.0,0.0
link2_sensor_3,link2,approach,94,84,0.8936170212765957,0.11904761904761904
link2_sensor_3,link2,pregrasp,514,514,1.0,0.0
link2_sensor_3,link2,grasp_lift,983,983,1.0,0.09053916581892167
link2_sensor_3,link2,transit,279,279,1.0,0.08243727598566308
link2_sensor_3,link2,place,320,320,1.0,0.146875
link2_sensor_3,link2,post_place,1245,1245,1.0,0.07951807228915662
link2_sensor_3,link2,unknown,456,456,1.0,0.0
link2_sensor_4,link2,approach,94,84,0.8936170212765957,0.0
link2_sensor_4,link2,pregrasp,514,514,1.0,0.0
link2_sensor_4,link2,grasp_lift,983,983,1.0,0.0
link2_sensor_4,link2,transit,279,279,1.0,0.0
link2_sensor_4,link2,place,320,320,1.0,0.0
link2_sensor_4,link2,post_place,1245,1245,1.0,0.0
link2_sensor_4,link2,unknown,456,456,1.0,0.0
link2_sensor_5,link2,approach,94,84,0.8936170212765957,0.0
link2_sensor_5,link2,pregrasp,514,514,1.0,0.0
link2_sensor_5,link2,grasp_lift,983,983,1.0,0.0
link2_sensor_5,link2,transit,279,279,1.0,0.0
link2_sensor_5,link2,place,320,320,1.0,0.0
link2_sensor_5,link2,post_place,1245,1245,1.0,0.0
link2_sensor_5,link2,unknown,456,456,1.0,0.0
link2_sensor_6,link2,approach,94,84,0.8936170212765957,0.0
link2_sensor_6,link2,pregrasp,514,514,1.0,0.07976653696498054
link2_sensor_6,link2,grasp_lift,983,983,1.0,0.06307222787385554
link2_sensor_6,link2,transit,279,279,1.0,0.11827956989247312
link2_sensor_6,link2,place,320,320,1.0,0.0
link2_sensor_6,link2,post_place,1245,1245,1.0,0.058634538152610445
link2_sensor_6,link2,unknown,456,456,1.0,0.07894736842105263
link3_sensor_0,link3,approach,94,84,0.8936170212765957,0.0
link3_sensor_0,link3,pregrasp,514,514,1.0,0.0
link3_sensor_0,link3,grasp_lift,983,983,1.0,0.0
link3_sensor_0,link3,transit,279,279,1.0,0.0
link3_sensor_0,link3,place,320,320,1.0,0.0
link3_sensor_0,link3,post_place,1245,1245,1.0,0.0
link3_sensor_0,link3,unknown,456,456,1.0,0.0
