house_id,sensor_name,link,n_frames,n_valid_frames,valid_frame_ratio,activation_lt_0_50m,activation_lt_0_20m,activation_lt_0_10m,activation_lt_0_05m,near_saturation_lt_0_05m,raw_frame_activation_lt_0_50m,raw_frame_activation_lt_0_20m,raw_frame_activation_lt_0_10m,raw_frame_activation_lt_0_05m,mean_min_depth_m,std_min_depth_m,p05_min_depth_m,p50_min_depth_m,p95_min_depth_m,min_depth_m,median_within_traj_std_m,median_frame_to_frame_abs_diff_m,success_activation_lt_0_20m,failure_activation_lt_0_20m,success_minus_failure_activation_lt_0_20m,phase_approach_n_frames,phase_approach_n_valid_frames,phase_approach_valid_frame_ratio,phase_approach_activation_lt_0_20m,phase_pregrasp_n_frames,phase_pregrasp_n_valid_frames,phase_pregrasp_valid_frame_ratio,phase_pregrasp_activation_lt_0_20m,phase_grasp_lift_n_frames,phase_grasp_lift_n_valid_frames,phase_grasp_lift_valid_frame_ratio,phase_grasp_lift_activation_lt_0_20m,phase_transit_n_frames,phase_transit_n_valid_frames,phase_transit_valid_frame_ratio,phase_transit_activation_lt_0_20m,phase_place_n_frames,phase_place_n_valid_frames,phase_place_valid_frame_ratio,phase_place_activation_lt_0_20m,phase_post_place_n_frames,phase_post_place_n_valid_frames,phase_post_place_valid_frame_ratio,phase_post_place_activation_lt_0_20m,phase_unknown_n_frames,phase_unknown_n_valid_frames,phase_unknown_valid_frame_ratio,phase_unknown_activation_lt_0_20m,phase_spread_active_phase_count,suspicious_self_sensing,suspicious_reason
house_1,link6_sensor_0,link6,260,259,0.9961538461538462,1.0,0.833976833976834,0.42857142857142855,0.3204633204633205,0.3204633204633205,1.0,0.8346153846153846,0.4307692307692308,0.3230769230769231,0.10835140063265576,0.061103613227306036,0.041197404637932776,0.11479420214891434,0.2086140140891075,0.04119356349110603,0.061103613227306036,9.664520621299744e-05,0.833976833976834,,,6,5,0.8333333333333334,0.0,35,35,1.0,1.0,68,68,1.0,1.0,14,14,1.0,1.0,21,21,1.0,0.09523809523809523,83,83,1.0,0.7710843373493976,33,33,1.0,1.0,5,True,activation_spread_across_many_phases
house_1,link6_sensor_1,link6,260,259,0.9961538461538462,1.0,0.7413127413127413,0.416988416988417,0.0,0.0,1.0,0.7423076923076923,0.41923076923076924,0.0038461538461538464,0.14521041643377897,0.09195612067434512,0.054811565205454826,0.12936797738075256,0.31146204471588135,0.054125506430864334,0.09195612067434512,0.00043851137161254883,0.7413127413127413,,,6,5,0.8333333333333334,0.0,35,35,1.0,1.0,68,68,1.0,1.0,14,14,1.0,0.7857142857142857,21,21,1.0,0.0,83,83,1.0,0.5421686746987951,33,33,1.0,1.0,5,True,activation_spread_across_many_phases
house_1,link6_sensor_2,link6,260,259,0.9961538461538462,0.9961389961389961,0.6177606177606177,0.16988416988416988,0.0,0.0,0.9961538461538462,0.6192307692307693,0.17307692307692307,0.0038461538461538464,0.23289392868409287,0.14791249825344568,0.09680350869894028,0.1875579059123993,0.49248850643634795,0.09578550606966019,0.14791249825344568,0.0005369633436203003,0.6177606177606177,,,6,5,0.8333333333333334,0.0,35,35,1.0,1.0,68,68,1.0,1.0,14,14,1.0,0.5,21,21,1.0,0.0,83,83,1.0,0.20481927710843373,33,33,1.0,1.0,5,True,activation_spread_across_many_phases
house_1,link6_sensor_5,link6,260,259,0.9961538461538462,0.9961389961389961,0.6061776061776062,0.21235521235521235,0.0,0.0,0.9961538461538462,0.6076923076923076,0.2153846153846154,0.0038461538461538464,0.23457771099557287,0.1480331615139576,0.09642968401312828,0.19188079237937927,0.49339387118816375,0.09541311115026474,0.1480331615139576,0.0005194693803787231,0.6061776061776062,,,6,5,0.8333333333333334,0.0,35,35,1.0,1.0,68,68,1.0,1.0,14,14,1.0,0.5,21,21,1.0,0.0,83,83,1.0,0.1686746987951807,33,33,1.0,1.0,4,True,activation_spread_across_many_phases
house_1,link6_sensor_6,link6,260,259,0.9961538461538462,1.0,0.7876447876447876,0.4247104247104247,0.28957528957528955,0.28957528957528955,1.0,0.7884615384615384,0.4269230769230769,0.2923076923076923,0.12316592942391123,0.07575048515757984,0.043790492415428164,0.11841730028390884,0.25510431826114655,0.043236181139945984,0.07575048515757984,0.00039913132786750793,0.7876447876447876,,,6,5,0.8333333333333334,0.0,35,35,1.0,1.0,68,68,1.0,1.0,14,14,1.0,0.9285714285714286,21,21,1.0,0.0,83,83,1.0,0.6626506024096386,33,33,1.0,1.0,5,True,activation_spread_across_many_phases
house_3,link2_sensor_6,link2,241,241,1.0,1.0,0.6804979253112033,0.31950207468879666,0.0,0.0,1.0,0.6804979253112033,0.31950207468879666,0.0,0.1582881710279532,0.07134370376194456,0.08961477130651474,0.12283149361610413,0.25644171237945557,0.08908181637525558,0.07134370376194456,0.0001066066324710846,0.6804979253112033,,,6,6,1.0,0.0,15,15,1.0,1.0,50,50,1.0,1.0,33,33,1.0,0.8484848484848485,21,21,1.0,0.0,83,83,1.0,0.4578313253012048,33,33,1.0,1.0,5,True,activation_spread_across_many_phases
house_11,link2_sensor_3,link2,301,301,1.0,0.654485049833887,0.5980066445182725,0.0,0.0,0.0,0.654485049833887,0.5980066445182725,0.0,0.0,1.0996075527513542,1.4173756512551816,0.1502615362405777,0.16277211904525757,3.7815542221069336,0.13929718732833862,1.4173756512551816,0.0007878616452217102,0.5980066445182725,,,8,8,1.0,0.625,31,31,1.0,0.0,131,131,1.0,0.6793893129770993,19,19,1.0,0.5789473684210527,26,26,1.0,1.0,83,83,1.0,0.5903614457831325,3,3,1.0,0.0,4,True,activation_spread_across_many_phases
house_14,link6_sensor_0,link6,301,301,1.0,0.9966777408637874,0.7375415282392026,0.36212624584717606,0.0,0.0,0.9966777408637874,0.7375415282392026,0.36212624584717606,0.0,0.160227975514145,0.09453945598477546,0.05709260329604149,0.1344752162694931,0.32751911878585815,0.05023173615336418,0.09453945598477546,0.0010305605828762054,0.7375415282392026,,,7,7,1.0,0.8571428571428571,57,57,1.0,0.6140350877192983,93,93,1.0,1.0,18,18,1.0,1.0,19,19,1.0,1.0,83,83,1.0,0.6144578313253012,24,24,1.0,0.0,5,True,activation_spread_across_many_phases
house_14,link6_sensor_1,link6,301,301,1.0,0.9966777408637874,0.7375415282392026,0.3654485049833887,0.0,0.0,0.9966777408637874,0.7375415282392026,0.3654485049833887,0.0,0.15630127941304664,0.09056928948271067,0.059361912310123444,0.11918305605649948,0.32049959897994995,0.05284799635410309,0.09056928948271067,0.0009739063680171967,0.7375415282392026,,,7,7,1.0,0.8571428571428571,57,57,1.0,0.6140350877192983,93,93,1.0,1.0,18,18,1.0,1.0,19,19,1.0,1.0,83,83,1.0,0.6144578313253012,24,24,1.0,0.0,5,True,activation_spread_across_many_phases
house_14,link6_sensor_2,link6,301,301,1.0,0.9966777408637874,0.707641196013289,0.15282392026578073,0.0,0.0,0.9966777408637874,0.707641196013289,0.15282392026578073,0.0,0.17437279363011204,0.10294243261867365,0.07057987153530121,0.1190192773938179,0.3782743811607361,0.061694029718637466,0.10294243261867365,0.0009094923734664917,0.707641196013289,,,7,7,1.0,0.8571428571428571,57,57,1.0,0.543859649122807,93,93,1.0,1.0,18,18,1.0,1.0,19,19,1.0,1.0,83,83,1.0,0.5542168674698795,24,24,1.0,0.0,5,True,activation_spread_across_many_phases
