link,phase,n_frames,n_valid_frames,valid_frame_ratio,activation_lt_0_20m
link2,approach,630,532,0.8444444444444444,0.05639097744360902
link2,pregrasp,3234,3234,1.0,0.07637600494743352
link2,grasp_lift,5866,5866,1.0,0.08643027616774633
link2,transit,2380,2380,1.0,0.05966386554621849
link2,place,2758,2758,1.0,0.06272661348803481
link2,post_place,8715,8715,1.0,0.07137119908204245
link2,unknown,3465,3465,1.0,0.08571428571428572
link3,approach,720,608,0.8444444444444444,0.03289473684210526
link3,pregrasp,3696,3696,1.0,0.06168831168831169
link3,grasp_lift,6704,6704,1.0,0.03997613365155131
link3,transit,2720,2720,1.0,0.015441176470588236
link3,place,3152,3152,1.0,0.038705583756345176
link3,post_place,9960,9960,1.0,0.05642570281124498
link3,unknown,3960,3960,1.0,0.075
link5,approach,540,456,0.8444444444444444,0.1425438596491228
link5,pregrasp,2772,2772,1.0,0.10858585858585859
link5,grasp_lift,5028,5028,1.0,0.13882259347653142
link5,transit,2040,2038,0.9990196078431373,0.10255152109911678
link5,place,2364,2358,0.9974619289340102,0.13655640373197625
link5,post_place,7470,7459,0.9985274431057564,0.1135540957232873
link5,unknown,2970,2970,1.0,0.13333333333333333
link6,approach,720,608,0.8444444444444444,0.12335526315789473
link6,pregrasp,3696,3696,1.0,0.043560606060606064
link6,grasp_lift,6704,6704,1.0,0.04832935560859188
link6,transit,2720,2720,1.0,0.03161764705882353
link6,place,3152,3152,1.0,0.1157994923857868
link6,post_place,9960,9960,1.0,0.08413654618473895
link6,unknown,3960,3960,1.0,0.075
