sensor_name,link,phase,n_frames,n_valid_frames,valid_frame_ratio,activation_lt_0_20m
link2_sensor_0,link2,approach,90,76,0.8444444444444444,0.06578947368421052
link2_sensor_0,link2,pregrasp,462,462,1.0,0.07792207792207792
link2_sensor_0,link2,grasp_lift,838,838,1.0,0.06563245823389022
link2_sensor_0,link2,transit,340,340,1.0,0.09117647058823529
link2_sensor_0,link2,place,394,394,1.0,0.06345177664974619
link2_sensor_0,link2,post_place,1245,1245,1.0,0.06746987951807229
link2_sensor_0,link2,unknown,495,495,1.0,0.06666666666666667
link2_sensor_1,link2,approach,90,76,0.8444444444444444,0.0
link2_sensor_1,link2,pregrasp,462,462,1.0,0.025974025974025976
link2_sensor_1,link2,grasp_lift,838,838,1.0,0.00954653937947494
link2_sensor_1,link2,transit,340,340,1.0,0.0
link2_sensor_1,link2,place,394,394,1.0,0.0
link2_sensor_1,link2,post_place,1245,1245,1.0,0.010441767068273093
link2_sensor_1,link2,unknown,495,495,1.0,0.06666666666666667
link2_sensor_2,link2,approach,90,76,0.8444444444444444,0.0
link2_sensor_2,link2,pregrasp,462,462,1.0,0.06926406926406926
link2_sensor_2,link2,grasp_lift,838,838,1.0,0.0
link2_sensor_2,link2,transit,340,340,1.0,0.061764705882352944
link2_sensor_2,link2,place,394,394,1.0,0.0
link2_sensor_2,link2,post_place,1245,1245,1.0,0.04497991967871486
link2_sensor_2,link2,unknown,495,495,1.0,0.06666666666666667
link2_sensor_3,link2,approach,90,76,0.8444444444444444,0.06578947368421052
link2_sensor_3,link2,pregrasp,462,462,1.0,0.06277056277056277
link2_sensor_3,link2,grasp_lift,838,838,1.0,0.162291169451074
link2_sensor_3,link2,transit,340,340,1.0,0.05
link2_sensor_3,link2,place,394,394,1.0,0.11421319796954314
link2_sensor_3,link2,post_place,1245,1245,1.0,0.08353413654618475
link2_sensor_3,link2,unknown,495,495,1.0,0.13333333333333333
link2_sensor_4,link2,approach,90,76,0.8444444444444444,0.06578947368421052
link2_sensor_4,link2,pregrasp,462,462,1.0,0.07792207792207792
link2_sensor_4,link2,grasp_lift,838,838,1.0,0.04892601431980907
link2_sensor_4,link2,transit,340,340,1.0,0.023529411764705882
link2_sensor_4,link2,place,394,394,1.0,0.06598984771573604
link2_sensor_4,link2,post_place,1245,1245,1.0,0.060240963855421686
link2_sensor_4,link2,unknown,495,495,1.0,0.06666666666666667
link2_sensor_5,link2,approach,90,76,0.8444444444444444,0.06578947368421052
link2_sensor_5,link2,pregrasp,462,462,1.0,0.11688311688311688
link2_sensor_5,link2,grasp_lift,838,838,1.0,0.13484486873508353
link2_sensor_5,link2,transit,340,340,1.0,0.09705882352941177
link2_sensor_5,link2,place,394,394,1.0,0.06598984771573604
link2_sensor_5,link2,post_place,1245,1245,1.0,0.09879518072289156
link2_sensor_5,link2,unknown,495,495,1.0,0.06666666666666667
link2_sensor_6,link2,approach,90,76,0.8444444444444444,0.13157894736842105
link2_sensor_6,link2,pregrasp,462,462,1.0,0.1038961038961039
link2_sensor_6,link2,grasp_lift,838,838,1.0,0.18377088305489261
link2_sensor_6,link2,transit,340,340,1.0,0.09411764705882353
link2_sensor_6,link2,place,394,394,1.0,0.12944162436548223
link2_sensor_6,link2,post_place,1245,1245,1.0,0.13413654618473897
link2_sensor_6,link2,unknown,495,495,1.0,0.13333333333333333
link3_sensor_0,link3,approach,90,76,0.8444444444444444,0.0
link3_sensor_0,link3,pregrasp,462,462,1.0,0.05411255411255411
link3_sensor_0,link3,grasp_lift,838,838,1.0,0.0
link3_sensor_0,link3,transit,340,340,1.0,0.0
link3_sensor_0,link3,place,394,394,1.0,0.0
link3_sensor_0,link3,post_place,1245,1245,1.0,0.03132530120481928
link3_sensor_0,link3,unknown,495,495,1.0,0.06666666666666667
link3_sensor_1,link3,approach,90,76,0.8444444444444444,0.06578947368421052
link3_sensor_1,link3,pregrasp,462,462,1.0,0.0670995670995671
link3_sensor_1,link3,grasp_lift,838,838,1.0,0.06921241050119331
link3_sensor_1,link3,transit,340,340,1.0,0.029411764705882353
link3_sensor_1,link3,place,394,394,1.0,0.06598984771573604
link3_sensor_1,link3,post_place,1245,1245,1.0,0.07068273092369477
link3_sensor_1,link3,unknown,495,495,1.0,0.06666666666666667
link3_sensor_2,link3,approach,90,76,0.8444444444444444,0.0
link3_sensor_2,link3,pregrasp,462,462,1.0,0.05411255411255411
link3_sensor_2,link3,grasp_lift,838,838,1.0,0.0
link3_sensor_2,link3,transit,340,340,1.0,0.0058823529411764705
link3_sensor_2,link3,place,394,394,1.0,0.04314720812182741
link3_sensor_2,link3,post_place,1245,1245,1.0,0.0642570281124498
link3_sensor_2,link3,unknown,495,495,1.0,0.06666666666666667
