house,success,fail,contact_ever,tcp_min_frame,tcp_min_m,tcp_first_lt5cm_frame,grip_first_close_frame,grip_close_during_lt5cm,n_grip_transitions,pregrasp_min_m,final_tcp_m,episode_len,traj
11,0,1,0,2,0.2988,-1,43,0,3,0.2988,0.8091,301,traj_0
12,0,1,0,34,0.4133,-1,29,0,2,0.4133,0.457,301,traj_0
13,0,1,1,300,0.1378,-1,67,0,3,0.1378,0.1378,301,traj_0
14,0,1,0,36,0.2572,-1,70,0,2,0.2572,0.31,301,traj_0
15,0,1,0,67,0.3209,-1,-1,0,1,0.3209,0.3228,301,traj_0
16,0,1,0,8,0.2375,-1,67,0,3,0.2375,0.4139,301,traj_0
17,0,1,1,40,0.0957,-1,60,0,2,0.0957,0.1092,301,traj_0
18,0,1,0,279,0.0909,-1,61,0,4,0.0909,0.1293,301,traj_0
19,0,1,0,87,0.2536,-1,54,0,2,0.2536,0.3692,301,traj_0
20,0,1,0,16,0.4451,-1,-1,0,1,0.4451,0.4976,301,traj_0
