house,success,fail,contact_ever,tcp_min_frame,tcp_min_m,tcp_first_lt5cm_frame,grip_first_close_frame,grip_close_during_lt5cm,n_grip_transitions,pregrasp_min_m,final_tcp_m,episode_len,traj
11,0,1,0,0,0.3135,-1,-1,0,1,0.3135,0.3182,301,traj_0
12,0,1,0,63,0.1975,-1,-1,0,1,0.1975,0.3593,301,traj_0
13,0,1,0,0,0.541,-1,-1,0,1,0.541,0.5665,301,traj_0
14,0,1,0,0,0.552,-1,-1,0,1,0.552,0.5549,301,traj_0
15,0,1,0,27,0.4286,-1,-1,0,1,0.4286,0.4286,301,traj_0
16,0,1,0,0,0.5437,-1,-1,0,1,0.5437,0.5619,301,traj_0
17,0,1,1,39,0.0511,-1,-1,0,1,0.0511,0.1144,301,traj_0
18,0,1,0,2,0.3863,-1,-1,0,1,0.3863,0.3888,301,traj_0
19,0,1,0,183,0.1159,-1,-1,0,1,0.1159,0.1253,301,traj_0
20,0,1,0,20,0.3536,-1,-1,0,1,0.3536,0.3821,301,traj_0
