house,success,fail,contact_ever,tcp_min_frame,tcp_min_m,tcp_first_lt5cm_frame,grip_first_close_frame,grip_close_during_lt5cm,n_grip_transitions,pregrasp_min_m,final_tcp_m,episode_len,traj
11,0,1,0,18,0.2698,-1,120,0,3,0.2698,0.2938,301,traj_0
12,0,1,0,46,0.159,-1,47,0,2,0.159,0.2048,301,traj_0
13,0,1,1,292,0.0514,-1,53,0,3,0.0514,0.0562,301,traj_0
14,0,1,0,70,0.6076,-1,-1,0,1,0.6076,0.6078,301,traj_0
15,0,1,0,42,0.5615,-1,-1,0,1,0.5615,0.5707,301,traj_0
16,0,1,1,77,0.0538,-1,68,0,3,0.0538,0.2231,301,traj_0
17,0,1,0,178,0.1134,-1,110,0,3,0.1134,0.2452,301,traj_0
18,0,1,0,1,0.2763,-1,-1,0,1,0.2763,0.289,301,traj_0
19,0,1,0,5,0.4372,-1,-1,0,1,0.4372,0.4542,301,traj_0
20,0,1,0,141,0.1146,-1,92,0,2,0.1146,0.1743,301,traj_0
